 Procedimentos hospitalares do SUS - por gestor - Brasil
Valor total por Município gestor e Ano processamento
Financiamento: 05 Incentivo - MAC, 06 Média e Alta Complexidade (MAC)
Período:2017-2020
"Município gestor";"2017";"2018";"2019";"2020";"Total"
"330360 Paracambi";630056,85;437790,15;386102,58;766388,10;2220337,68
"330370 Paraíba do Sul";619419,44;666888,77;857679,79;522819,17;2666807,17
"330380 Paraty";980429,05;947688,03;1035606,57;1272503,76;4236227,41
"330390 Petrópolis";50385412,16;51249077,69;52291693,21;54948736,53;208874919,59
"330395 Pinheiral";264331,44;265064,13;262502,05;416481,10;1208378,72
"330400 Piraí";1037289,99;1009510,87;1010005,18;1119634,04;4176440,08
"330411 Porto Real";869333,44;790392,07;1017115,09;817695,27;3494535,87
"330412 Quatis";801395,71;273319,93;253949,69;171597,59;1500262,92
"330414 Queimados";3058162,41;3036785,96;3539419,55;4060324,79;13694692,71
"330415 Quissamã";1787348,00;2406796,12;2088153,14;1860210,48;8142507,74
"330420 Resende";7321063,32;8107112,72;7778085,95;6888180,59;30094442,58
"330430 Rio Bonito";3522129,57;5583062,23;6665891,89;8237876,39;24008960,08
"330440 Rio Claro";175899,89;131843,23;145658,63;222229,68;675631,43
"330450 Rio das Flores";180252,52;159085,85;140696,80;146335,95;626371,12
"330452 Rio das Ostras";1365841,72;1960621,65;2440821,72;2843626,00;8610911,09
"330455 Rio de Janeiro";306480715,91;288783315,87;309640422,80;330288140,55;1235192595,13
"330460 Santa Maria Madalena";162740,08;179188,61;219811,89;225622,32;787362,90
"330470 Santo Antônio de Pádua";1234801,90;1324244,96;1557184,45;1539330,04;5655561,35
"330480 São Fidélis";2328409,65;2417728,72;2711818,65;2484977,62;9942934,64
"330475 São Francisco de Itabapoana";283854,22;358475,86;418738,47;445037,42;1506105,97
"330490 São Gonçalo";7416700,04;7139310,22;9489860,49;14519187,06;38565057,81
"330500 São João da Barra";509650,00;1030470,64;913905,97;995124,64;3449151,25
"330510 São João de Meriti";1216487,35;297673,85;53727,30;1271360,45;2839248,95
"330515 São José do Vale do Rio Preto";386450,61;264499,01;263586,66;358794,20;1273330,48
"330520 São Pedro da Aldeia";674104,36;695015,68;872545,16;802217,67;3043882,87
"330530 São Sebastião do Alto";390353,75;429136,69;377012,71;264985,80;1461488,95
"330550 Saquarema";604078,86;1009713,61;1074494,41;2059291,72;4747578,60
"330555 Seropédica";487255,08;973814,79;782422,69;652707,85;2896200,41
"330560 Silva Jardim";141351,03;155305,25;156741,18;258560,39;711957,85
"330570 Sumidouro";181688,75;201896,31;226233,15;200771,36;810589,57
"330575 Tanguá";1280155,94;834633,59;569030,00;179620,41;2863439,94
"330580 Teresópolis";14157391,85;14037962,54;15328992,53;19290242,84;62814589,76
"330590 Trajano de Moraes";209738,22;201106,98;256675,92;253681,88;921203,00
