 Procedimentos hospitalares do SUS - por gestor - Brasil
Valor total por Município gestor e Ano processamento
Financiamento: 05 Incentivo - MAC, 06 Média e Alta Complexidade (MAC)
Período:2017-2020
"Município gestor";"2017";"2018";"2019";"2020";"Total"
"353240 Nazaré Paulista";145296,23;176488,14;156509,07;109724,27;588017,71
"353250 Neves Paulista";66110,30;50950,69;62516,50;16174,93;195752,42
"353290 Nova Europa";146261,20;174914,96;161627,47;133411,81;616215,44
"353340 Nova Odessa";608182,53;586074,11;587508,70;719732,72;2501498,06
"353350 Novo Horizonte";1109449,89;1082597,20;1361321,91;2482551,28;6035920,28
"353390 Olímpia";1776677,12;2147340,94;2287373,01;3801024,12;10012415,19
"353430 Orlândia";1120387,76;1125736,68;1125888,74;1137791,41;4509804,59
"353440 Osasco";16239900,78;16140308,74;15522232,96;20375447,26;68277889,74
"353460 Osvaldo Cruz";996359,39;975172,61;1083275,39;917372,16;3972179,55
"353470 Ourinhos";11917407,48;13732610,68;12239692,72;15342804,80;53232515,68
"353475 Ouroeste";140953,21;192957,38;226049,90;130427,79;690388,28
"353490 Pacaembu";82267,10;64494,63;54885,24;44545,06;246192,03
"353520 Palmeira d'Oeste";286887,81;245112,28;248641,47;113627,25;894268,81
"353530 Palmital";550658,58;565884,12;519803,01;534170,21;2170515,92
"353540 Panorama";330213,39;300264,18;63221,89;174884,20;868583,66
"353550 Paraguaçu Paulista";2862524,59;2606619,45;2825144,18;2480849,64;10775137,86
"353580 Paranapanema";69870,65;30694,96;61158,99;45533,83;207258,43
"353600 Parapuã";228385,54;226105,19;253579,69;178591,65;886662,07
"353650 Paulínia";3208820,07;3416444,23;3558082,20;3725019,02;13908365,52
"353660 Paulo de Faria";32017,68;21602,98;18758,54;11372,43;83751,63
"353670 Pederneiras";863980,25;853056,67;728327,45;1442303,23;3887667,60
"353710 Pedreira";373277,28;399917,25;451471,61;559150,70;1783816,84
"353730 Penápolis";3461041,31;3448390,22;3153666,64;2651053,28;12714151,45
"353740 Pereira Barreto";543513,34;568171,08;501672,48;426989,86;2040346,76
"353780 Piedade";767543,81;863631,87;1015674,77;1163181,66;3810032,11
"353790 Pilar do Sul";570524,92;506374,29;448364,89;388289,82;1913553,92
"353800 Pindamonhangaba";7279157,43;7875402,94;8002146,57;7755634,23;30912341,17
"353860 Piracaia";101411,03;113203,70;129934,08;150775,27;495324,08
"353870 Piracicaba";40591555,36;39658338,73;40458983,75;41831152,77;162540030,61
"353880 Piraju";1191308,76;1057942,35;1032352,53;950173,84;4231777,48
"353890 Pirajuí";78161,18;203875,59;173721,12;201713,44;657471,33
"353900 Pirangi";190444,80;183768,29;265946,39;134205,27;774364,75
"353930 Pirassununga";2562336,20;2398222,78;2414533,51;2469402,58;9844495,07
"353940 Piratininga";63798,53;73584,71;87200,76;71610,99;296194,99
"353950 Pitangueiras";595118,29;692272,42;673897,57;760106,44;2721394,72
"353980 Poá";361552,51;258409,21;388579,97;664767,50;1673309,19
"354000 Pompéia";224273,97;201240,92;72523,13;129812,29;627850,31
"354020 Pontal";521701,32;637939,03;631411,88;591684,47;2382736,70
"354040 Populina";86791,41;53683,69;70674,47;62749,08;273898,65
"354060 Porto Feliz";1592438,03;1707454,53;1772284,19;1964590,28;7036767,03
"354070 Porto Ferreira";1325047,39;1979918,41;1858941,38;1765149,58;6929056,76
"354080 Potirendaba";136579,44;175622,34;164004,08;102642,90;578848,76
"354100 Praia Grande";7462291,67;7747420,23;7536835,63;10480758,87;33227306,40
"354120 Presidente Bernardes";489264,91;441984,59;413469,88;330928,62;1675648,00
"354130 Presidente Epitácio";445305,92;1342955,10;1143159,83;1078634,42;4010055,27
"354150 Presidente Venceslau";2145649,31;1595833,22;1923314,17;1832354,04;7497150,74
"354190 Queluz";87879,80;70343,65;55759,34;113157,96;327140,75
"354240 Regente Feijó";144760,60;131019,23;124276,98;390851,63;790908,44
"354290 Ribeirão Bonito";137310,25;124746,37;141060,57;96207,10;499324,29
"354300 Ribeirão Branco";223487,91;244688,70;266565,33;199633,54;934375,48
"354330 Ribeirão Pires";430963,89;1007176,31;1417663,35;1723270,79;4579074,34
"354340 Ribeirão Preto";35075486,06;36670176,39;37187754,35;41677652,70;150611069,50
"354380 Rinópolis";143877,50;112988,52;109508,27;71456,16;437830,45
"354390 Rio Claro";10341658,29;10654561,21;10474839,67;10505494,61;41976553,78
"354400 Rio das Pedras";467657,50;408668,49;351587,11;613680,54;1841593,64
"354420 Riolândia";33113,02;18531,61;21174,26;23415,97;96234,86
"354490 Sales Oliveira";93652,22;104373,53;69411,36;38299,06;305736,17
"354500 Salesópolis";74068,39;49967,14;56188,23;102598,58;282822,34
"354520 Salto";3838658,53;3525573,33;3310034,68;3472453,30;14146719,84
"354530 Salto de Pirapora";754734,30;734535,63;624005,12;633962,42;2747237,47
"354540 Salto Grande";257627,68;260840,31;268353,11;257151,14;1043972,24
"354560 Santa Adélia";109666,73;90096,32;75573,53;23353,59;298690,17
"354580 Santa Bárbara d'Oeste";4450786,66;4630815,83;4598375,05;5102301,82;18782279,36
"354630 Santa Cruz das Palmeiras";713177,46;644990,26;665542,66;647488,23;2671198,61
"354640 Santa Cruz do Rio Pardo";2746087,99;2710939,29;3054905,42;3915974,54;12427907,24
"354660 Santa Fé do Sul";1879229,83;1927331,00;2609977,37;2478642,74;8895180,94
"354680 Santa Isabel";2327974,05;2404955,34;2340236,25;2155914,73;9229080,37
"354750 Santa Rita do Passa Quatro";551293,30;489543,47;451945,78;471636,12;1964418,67
"354760 Santa Rosa de Viterbo";222688,47;258877,15;267136,58;273806,41;1022508,61
"354730 Santana de Parnaíba";376108,00;250137,44;488934,88;1559495,27;2674675,59
"354770 Santo Anastácio";570056,65;669199,90;665097,25;491535,53;2395889,33
"354780 Santo André";25101516,62;28373718,34;35269462,96;38049809,84;126794507,76
"354790 Santo Antônio da Alegria";43640,66;51261,20;38755,79;16879,68;150537,33
"354850 Santos";34461524,88;33393356,26;35400345,72;41349632,79;144604859,65
"354860 São Bento do Sapucaí";384677,94;366708,29;305662,04;182471,47;1239519,74
"354870 São Bernardo do Campo";44787218,73;45993635,54;48936004,95;69900123,87;209616983,09
"354880 São Caetano do Sul";10596278,93;11258754,41;11439872,43;14753480,67;48048386,44
"354890 São Carlos";18260394,17;18573094,04;20983984,65;21889897,09;79707369,95
"354910 São João da Boa Vista";4978378,02;5808617,72;6019139,04;6226973,98;23033108,76
"354970 São José do Rio Pardo";3867584,69;4004353,46;4147456,69;4110659,77;16130054,61
"354980 São José do Rio Preto";26294005,57;27044592,70;27885784,63;36287849,02;117512231,92
"354990 São José dos Campos";43174972,31;44262107,64;44427552,24;43544009,25;175408641,44
"355000 São Luís do Paraitinga";62730,45;56147,27;67884,57;75637,74;262400,03
"355010 São Manuel";478842,24;496484,21;461156,41;627951,54;2064434,40
"355020 São Miguel Arcanjo";431428,24;436862,45;394639,48;332528,77;1595458,94
"355030 São Paulo";297908743,29;241584670,68;241686018,98;303924412,88;1085103845,83
"355040 São Pedro";670809,77;556727,71;602062,98;904578,75;2734179,21
"355060 São Roque";1662818,84;1593176,71;1667219,45;2478093,84;7401308,84
"355070 São Sebastião";4025281,12;3907723,78;3545142,71;3611725,74;15089873,35
"355080 São Sebastião da Grama";354384,29;343588,33;370445,45;210390,68;1278808,75
"355090 São Simão";205547,83;187599,80;164783,28;262065,52;819996,43
"355100 São Vicente";6053377,66;6225933,62;6181482,95;9381186,35;27841980,58
"355160 Serra Negra";408278,47;430174,62;420546,32;478128,87;1737128,28
"355150 Serrana";373862,93;385057,39;395681,82;361813,45;1516415,59
"355170 Sertãozinho";8501854,65;8337723,26;8599126,56;9218545,58;34657250,05
"355200 Silveiras";25161,33;16243,35;14315,98;6968,14;62688,80
"355210 Socorro";894057,67;878498,70;771881,26;1049429,57;3593867,20
"355220 Sorocaba";28259230,71;30232929,49;29664936,05;30306466,43;118463562,68
"355230 Sud Mennucci";132203,64;105500,23;139618,92;95474,80;472797,59
"355250 Suzano";5338018,13;5893061,91;5989244,76;6359669,99;23579994,79
"355260 Tabapuã";272358,79;259632,28;268077,11;81136,23;881204,41
"355270 Tabatinga";288845,63;262417,77;296708,32;295166,87;1143138,59
"355280 Taboão da Serra";2245661,56;2511432,16;2324748,20;3727844,77;10809686,69
"355300 Taguaí";227355,52;230041,06;225160,75;232821,38;915378,71
"355330 Tambaú";505591,37;450991,13;439954,41;443140,74;1839677,65
"355360 Tapiratiba";124550,82;97139,49;98485,60;96161,19;416337,10
"355370 Taquaritinga";2286346,15;2333095,37;2481287,64;2585532,68;9686261,84
"355380 Taquarituba";514764,16;853732,89;656770,79;795430,75;2820698,59
"355400 Tatuí";3620699,84;4084743,27;3950715,22;5892951,92;17549110,25
"355410 Taubaté";-;-;8234425,22;17186090,37;25420515,59
"355430 Teodoro Sampaio";874118,60;807267,34;629955,52;488784,32;2800125,78
"355440 Terra Roxa";133619,19;110710,86;138728,97;134909,77;517968,79
"355450 Tietê";914501,62;926911,97;869151,25;832367,74;3542932,58
"355470 Torrinha";26860,51;48182,29;42866,83;1791,91;119701,54
"355510 Tupi Paulista";745152,95;628854,61;550817,99;566401,26;2491226,81
"355540 Ubatuba";2309504,20;2437782,08;2170423,94;2890010,37;9807720,59
"355580 Urânia";87166,43;90702,18;97183,14;41193,66;316245,41
"355600 Urupês";280788,39;218155,16;192665,70;67201,27;758810,52
"355620 Valinhos";2142594,98;2802318,53;3214065,41;5508457,08;13667436,00
"355630 Valparaíso";451862,65;431475,30;432439,36;285769,22;1601546,53
"355640 Vargem Grande do Sul";998037,61;979019,36;703358,72;914645,96;3595061,65
"355650 Várzea Paulista";168367,16;173736,97;175533,37;261963,07;779600,57
"355670 Vinhedo";2094159,40;2366632,42;2678024,21;3059567,71;10198383,74
"355680 Viradouro";284584,66;318949,32;266896,90;234009,42;1104440,30
"355700 Votorantim";2256939,18;1761938,43;2282979,70;3013613,13;9315470,44
"350000 São Paulo - Gestão estadual";1725618066,27;1756329255,46;1842821107,63;1934929158,57;7259697587,93
"410045 Altamira do Paraná";-;-;39483,96;75182,37;114666,33
"410050 Altônia";398849,80;360342,99;303793,19;217599,96;1280585,94
"410140 Apucarana";14464368,25;14855663,99;17247540,36;18266793,60;64834366,20
"410180 Araucária";5608527,16;5631342,83;5488987,84;4307352,51;21036210,34
"410430 Campo Mourão";14944691,99;16922335,13;19222628,01;17329320,46;68418975,59
"410540 Chopinzinho";1017034,92;1010902,49;1067653,82;1276009,16;4371600,39
"410550 Cianorte";5557707,45;5731753,43;6029823,39;6720381,45;24039665,72
"410590 Colorado";1273685,93;1723131,58;1756177,42;3509116,90;8262111,83
"410650 Coronel Vivida";637303,88;635801,79;467835,48;453967,44;2194908,59
"410660 Cruzeiro do Oeste";295080,02;358227,47;308224,79;213360,73;1174893,01
"410690 Curitiba";242506224,53;257565304,07;263649302,18;284854997,19;1048575827,97
"410720 Dois Vizinhos";1711033,62;1731790,50;1738570,42;2137270,77;7318665,31
"410830 Foz do Iguaçu";146184,22;7509134,68;10534746,41;12926204,59;31116269,90
"410840 Francisco Beltrão";9349280,55;9407895,86;9798755,07;9152094,16;37708025,64
"410860 Goioerê";1113225,72;1193341,63;1121494,28;2192281,53;5620343,16
"410880 Guaíra";804207,09;1003147,90;768101,92;854863,77;3430320,68
"411060 Iporã";193186,86;149209,14;126278,70;113222,31;581897,01
"411080 Iretama";210845,04;184317,79;-;-;395162,83
"411220 Janiópolis";64356,66;-;-;-;64356,66
"411370 Londrina";93688631,09;107930974,84;107458126,84;133304343,46;442382076,23
"411420 Mandaguari";614902,92;612353,38;629989,52;489720,14;2346965,96
"411440 Mangueirinha";376197,51;617810,35;614359,00;502681,80;2111048,66
"411520 Maringá";61892800,43;65769096,10;67854598,64;71995778,79;267512273,96
"411540 Marmeleiro";478173,65;469840,54;229944,00;-;1177958,19
"411720 Nova Olímpia";-;-;9727,93;6939,58;16667,51
"411760 Palmas";3147090,67;3148398,40;3153662,90;3238606,77;12687758,74
"411850 Pato Branco";20512962,03;21153593,58;21689754,31;22225674,24;85581984,16
"411890 Pérola";59912,55;49821,05;33344,85;41201,28;184279,73
"411910 Piên";352808,14;400061,14;442052,76;273608,74;1468530,78
"412380 Santa Izabel do Oeste";266466,13;237703,17;171029,05;156347,69;831546,04
"412535 São Jorge do Patrocínio";178997,98;162198,50;160885,63;120535,63;622617,74
"412550 São José dos Pinhais";14368943,28;15015134,03;14039343,29;16931368,51;60354789,11
"412720 Terra Boa";457951,18;457672,19;496204,65;497803,84;1909631,86
"412800 Ubiratã";1070324,89;1140759,42;1202785,73;1457256,30;4871126,34
"412810 Umuarama";17975784,51;20710491,88;21236765,67;23668221,23;83591263,29
"410000 Paraná - Gestão estadual";669808250,78;714300416,03;746372471,08;660828401,50;2791309539,39
"420200 Balneário Camboriú";8501891,72;8106121,91;8685499,95;14476197,75;39769711,33
"420230 Biguaçu";875080,56;884388,10;1495220,24;1622215,71;4876904,61
"420240 Blumenau";50552416,61;56748257,66;57743012,55;62104065,12;227147751,94
"420250 Bom Jardim da Serra";-;2282,94;-;-;2282,94
"420290 Brusque";6066453,62;6753518,03;6964428,66;7724798,52;27509198,83
"420320 Camboriú";48118,23;190049,45;674284,99;618950,16;1531402,83
"420370 Canelinha";46760,15;50154,57;66574,10;165452,15;328940,97
"420380 Canoinhas";3406122,83;3301589,71;3062994,41;3732495,39;13503202,34
"420400 Catanduvas";1192,29;-;-;-;1192,29
"420420 Chapecó";30837872,17;32248744,08;32404450,78;35110195,26;130601262,29
"420430 Concórdia";9083826,74;9430970,74;11011582,83;13346327,32;42872707,63
"420455 Correia Pinto";15863,23;87089,05;69987,43;27905,60;200845,31
"420460 Criciúma";35358074,07;32453308,77;31007763,62;35831317,95;134650464,41
"420500 Dionísio Cerqueira";-;657696,94;612816,26;546596,20;1817109,40
"420540 Florianópolis";6739691,79;6323898,70;7916950,81;7655153,21;28635694,51
"420590 Gaspar";1384927,05;1433769,16;1648926,48;2403656,68;6871279,37
"420650 Guaramirim";202680,08;436296,19;283808,95;217446,52;1140231,74
"420740 Imbuia";16128,40;7503,05;8311,69;-;31943,14
"420750 Indaial";2091953,61;2012448,19;2107045,20;3058053,63;9269500,63
"420790 Irineópolis";228485,09;175880,32;219764,90;109356,75;733487,06
"420810 Itaiópolis";134218,68;207831,48;266883,96;191421,88;800356,00
"420820 Itajaí";43525912,54;41049259,22;48340968,61;45664459,68;178580600,05
"420830 Itapema";77028,83;170078,24;293583,15;591630,80;1132321,02
"420890 Jaraguá do Sul";25929006,85;22603246,00;22884311,87;23293205,24;94709769,96
"420910 Joinville";68363011,57;71958924,06;79876225,68;87855321,46;308053482,77
"420930 Lages";26037107,09;25857036,89;27747036,78;29595413,85;109236594,61
"420940 Laguna";1162613,34;1059772,81;850229,94;1663880,03;4736496,12
"420960 Lauro Muller";41330,74;345175,62;314364,56;226397,07;927267,99
"421000 Luiz Alves";323517,93;216916,74;144942,48;114297,46;799674,61
"421030 Major Vieira";111804,35;517448,75;425768,05;330157,62;1385178,77
"421060 Massaranduba";488461,07;310012,91;261170,91;193492,51;1253137,40
"421130 Navegantes";898986,34;1013881,95;1189540,66;1048974,13;4151383,08
"421150 Nova Trento";69072,03;764632,80;606884,39;728163,82;2168753,04
"421170 Orleans";532035,79;589000,30;543333,23;641306,00;2305675,32
"421420 Quilombo";626762,10;627909,58;622591,73;499050,93;2376314,34
"421480 Rio do Sul";23758654,16;24881354,78;26435095,67;24170987,55;99246092,16
"421500 Rio Negrinho";1297064,41;1081255,91;984576,92;968927,20;4331824,44
"421580 São Bento do Sul";4549877,47;4617477,28;5915150,71;5174600,31;20257105,77
"421620 São Francisco do Sul";667000,83;693977,18;859280,16;779002,31;2999260,48
"421630 São João Batista";192353,94;530028,76;612979,73;669860,39;2005222,82
"421750 Seara";294508,82;346894,48;452673,74;423628,15;1517705,19
"421790 Tangará";-;-;-;10073,67;10073,67
"421830 Três Barras";636908,60;804635,68;741548,37;759515,53;2942608,18
"421900 Urussanga";1484324,60;1115891,72;776973,09;694481,84;4071671,25
"421935 Vitor Meireles";110774,17;95032,99;90052,68;48593,95;344453,79
"420000 Santa Catarina - Gestão estadual";269047537,67;285230424,09;305084530,63;293903882,84;1153266375,23
"430070 Anta Gorda";18062,73;140216,68;124404,52;163388,41;446072,34
"430080 Antônio Prado";525349,23;517033,01;418472,87;450695,03;1911550,14
"430100 Arroio do Meio";-;-;702169,14;1439369,23;2141538,37
"430210 Bento Gonçalves";10939099,83;11980130,87;11976429,52;13177804,02;48073464,24
"430230 Bom Jesus";40463,24;85761,67;182896,91;224977,11;534098,93
"430235 Bom Princípio";260113,57;232087,06;225621,92;286216,29;1004038,84
"430245 Boqueirão do Leão";400723,16;302178,93;344616,56;248551,17;1296069,82
"430300 Cachoeira do Sul";8924529,24;8865221,51;9934810,64;10550005,46;38274566,85
"430390 Campo Bom";3685752,60;3265531,61;3330538,34;3865575,06;14147397,61
"430420 Candelária";1634930,51;1479875,90;1129471,02;1251153,08;5495430,51
"430440 Canela";1202032,47;1031687,78;1162276,81;1326233,61;4722230,67
"430460 Canoas";43506502,82;41946357,47;47501594,80;57646424,22;190600879,31
"430470 Carazinho";4882970,05;5180950,32;5334521,82;6582842,75;21981284,94
"430480 Carlos Barbosa";636440,54;642166,32;756750,41;701417,12;2736774,39
"430510 Caxias do Sul";46868841,51;50954229,68;55250456,19;55222084,30;208295611,68
"430620 Cruzeiro do Sul";125690,38;182312,04;151156,13;107798,43;566956,98
"430680 Encantado";993251,90;1034082,81;1103392,50;2008048,12;5138775,33
"430770 Esteio";5426895,35;5605332,97;5203901,01;6421451,93;22657581,26
"430780 Estrela";4183414,08;5171345,22;5182595,37;7227032,83;21764387,50
"430790 Farroupilha";2954835,76;3233081,27;3881136,26;6470107,11;16539160,40
"430810 Feliz";356766,31;453734,47;469473,49;467314,92;1747289,19
"430820 Flores da Cunha";664944,24;601641,25;602770,20;583337,19;2452692,88
"430860 Garibaldi";880587,47;998325,23;1029266,41;2752706,97;5660886,08
"430900 Giruá";679320,20;638083,13;543570,69;516378,27;2377352,29
"430910 Gramado";2308697,15;2345112,04;2435495,40;4730634,51;11819939,10
"430920 Gravataí";7123986,77;7594336,61;8048034,07;8540768,08;31307125,53
"430925 Guabiju";7997,79;5956,55;9266,51;6158,71;29379,56
"430940 Guaporé";732192,76;575866,54;571004,65;622600,62;2501664,57
"431030 Ilópolis";261399,66;113498,29;120422,45;151684,21;647004,61
"431112 Jaquirana";50674,06;56053,48;63186,41;30114,92;200028,87
"431140 Lajeado";17248619,48;16980566,45;15760351,68;17036962,76;67026500,37
"431205 Marques de Souza";530919,61;512219,63;344546,26;300871,96;1688557,46
"431260 Muçum";213221,19;199241,10;213181,54;236252,05;861895,88
"431290 Nova Bassano";221904,55;210788,54;242804,07;312863,94;988361,10
"431300 Nova Bréscia";206606,69;206786,88;166484,07;176944,74;756822,38
"431320 Nova Petrópolis";534596,08;464617,56;572420,80;746288,68;2317923,12
"431330 Nova Prata";869946,53;1062056,99;967458,67;1058991,06;3958453,25
"431340 Novo Hamburgo";24405469,20;24101874,31;25967449,04;27297406,73;101772199,28
"431390 Panambi";1370543,68;1123812,96;1311633,77;1263211,76;5069202,17
"431400 Paraí";204036,65;238687,67;229459,65;168684,94;840868,91
"431440 Pelotas";42313908,70;44731919,57;44201959,84;43811059,27;175058847,38
"431490 Porto Alegre";308086635,85;297256619,20;325635930,84;338064880,68;1269044066,57
"431515 Progresso";478050,57;461746,10;567580,35;432248,90;1939625,92
"431520 Putinga";73081,02;79995,20;77692,55;52754,32;283523,09
"431530 Quaraí";801313,99;856746,05;807945,06;711462,46;3177467,56
"431550 Restinga Seca";314480,89;257815,22;308644,55;199708,77;1080649,43
"431570 Rio Pardo";2295812,57;2121412,78;1904308,69;750629,98;7072164,02
"431710 Sant'Ana do Livramento";3733661,32;3923339,11;4283695,94;3884412,97;15825109,34
"431680 Santa Cruz do Sul";17665710,11;16815954,71;21365002,59;21505451,09;77352118,50
"431720 Santa Rosa";8842523,96;10152074,13;11374139,58;15409832,54;45778570,21
"431800 São Borja";4674771,86;4932280,14;4840290,90;4964639,86;19411982,76
"431850 São José do Norte";374893,31;460452,77;515418,76;375446,37;1726211,21
"431870 São Leopoldo";12153797,91;9715221,90;9790051,67;13586465,57;45245537,05
"431900 São Marcos";790408,04;751470,65;694875,02;656306,84;2893060,55
"432000 Sapucaia do Sul";7526031,85;6287200,23;7804207,50;9071203,12;30688642,70
"432040 Serafina Corrêa";360962,69;334069,67;311440,96;330764,45;1337237,77
"432045 Sério";14533,04;21446,98;19220,02;16559,50;71759,54
"432067 Sinimbu";286866,74;264443,11;293648,90;182025,02;1026983,77
"432130 Taquari";614144,79;375512,33;520238,57;1672163,64;3182059,33
"432145 Teutônia";1643671,09;2157981,13;2173534,68;1785723,22;7760910,12
"432250 Vacaria";4463451,61;4691114,57;4883392,33;5062779,67;19100738,18
"432260 Venâncio Aires";4135354,64;4311168,26;4214833,41;5619639,89;18280996,20
"432280 Veranópolis";1178979,76;1204266,00;1267103,72;1341378,77;4991728,25
"430000 Rio Grande do Sul - Gestão estadual";351467334,10;371547063,62;382306701,91;412479918,63;1517801018,26
"500060 Amambai";831435,35;839476,26;838856,41;788886,52;3298654,54
"500100 Aparecida do Taboado";181172,16;193143,51;260818,39;434562,84;1069696,90
"500110 Aquidauana";3370795,24;3511614,74;3458714,08;3018173,71;13359297,77
"500270 Campo Grande";123724961,13;127027430,19;133353628,39;141462230,27;525568249,98
"500290 Cassilândia";327252,19;339152,17;388066,77;289295,59;1343766,72
"500295 Chapadão do Sul";664514,17;861308,36;960453,66;1148125,14;3634401,33
"500320 Corumbá";5253177,24;5667921,05;5486431,66;7054632,64;23462162,59
"500325 Costa Rica";654068,22;719797,71;662542,37;1279909,14;3316317,44
"500330 Coxim";976772,84;1290005,59;967863,10;1179837,60;4414479,13
"500370 Dourados";25563033,46;25347408,21;30479408,40;32213838,94;113603689,01
"500470 Ivinhema";597936,50;596728,10;565823,73;513507,31;2273995,64
"500500 Jardim";458820,54;465962,74;457102,18;485972,65;1867858,11
"500540 Maracaju";940597,87;976994,97;1053897,43;864477,24;3835967,51
"500570 Naviraí";1359994,36;1180267,83;1305719,35;2103738,26;5949719,80
"500620 Nova Andradina";1817076,08;1756268,44;1885225,24;1717219,82;7175789,58
"500630 Paranaíba";1799277,02;2258525,00;2331077,85;2843669,13;9232549,00
"500720 Rio Brilhante";838376,89;898385,93;918022,98;815372,29;3470158,09
"500740 Rio Verde de Mato Grosso";231937,41;232239,50;311522,55;347500,01;1123199,47
"500769 São Gabriel do Oeste";923319,49;948706,17;938690,46;1071949,63;3882665,75
"500790 Sidrolândia";384656,41;504775,82;533275,05;458439,09;1881146,37
"500830 Três Lagoas";8000967,24;7868751,85;8256309,07;8748037,22;32874065,38
"500000 Mato Grosso do Sul - Gestão estadual";11133744,34;12033789,70;14188554,32;14609729,43;51965817,79
"510020 Água Boa";1373459,99;1402376,71;1469708,61;1698456,64;5944001,95
"510025 Alta Floresta";-;-;-;228583,03;228583,03
"510030 Alto Araguaia";140118,61;139895,23;223554,80;174745,97;678314,61
"510060 Alto Taquari";98056,82;92717,85;81544,30;69834,47;342153,44
"510080 Apiacás";150191,22;130528,68;134301,96;120133,46;535155,32
"510125 Araputanga";-;-;23624,49;24914,77;48539,26
"510130 Arenápolis";-;-;-;50842,78;50842,78
"510140 Aripuanã";338673,46;402785,94;342920,49;264420,61;1348800,50
"510170 Barra do Bugres";1014445,69;759385,83;-;-;1773831,52
"510180 Barra do Garças";2563096,10;2756200,52;3651238,79;5549990,79;14520526,20
"510190 Brasnorte";370284,87;383705,48;399018,56;384190,75;1537199,66
"510260 Campinápolis";230414,37;226339,87;239855,03;224207,72;920816,99
"510263 Campo Novo do Parecis";685330,76;631972,05;746251,08;422151,90;2485705,79
"510267 Campo Verde";1038045,02;1059674,88;1004497,19;1418102,54;4520319,63
"510268 Campos de Júlio";-;-;76039,63;192632,98;268672,61
"510270 Canarana";10037,61;236290,58;394199,74;359620,30;1000148,23
"510305 Cláudia";187869,75;280120,06;230026,23;208237,03;906253,07
"510310 Cocalinho";83188,10;79015,06;82010,99;68300,97;312515,12
"510320 Colíder";171260,87;114724,99;150908,26;129801,59;566695,71
"510325 Colniza";17557,15;339930,40;376589,83;359202,35;1093279,73
"510330 Comodoro";950722,75;952872,28;752191,07;603994,55;3259780,65
"510335 Confresa";1423709,25;1651464,81;1667229,94;1493366,52;6235770,52
"510337 Cotriguaçu";259353,28;255814,25;224885,58;189768,23;929821,34
"510340 Cuiabá";88812299,40;85100142,25;75368038,62;65612616,19;314893096,46
"510345 Denise";55965,49;-;-;-;55965,49
"510350 Diamantino";375420,06;555738,03;638659,27;665784,56;2235601,92
"510360 Dom Aquino";157678,05;174496,45;161575,82;154847,01;648597,33
"510385 Gaúcha do Norte";8612,80;12830,17;50214,20;66875,76;138532,93
"510390 General Carneiro";61498,08;55254,15;54641,20;83040,10;254433,53
"510410 Guarantã do Norte";587634,02;636622,43;674144,56;568338,06;2466739,07
"510420 Guiratinga";222737,46;225315,18;158245,16;110144,36;716442,16
"510460 Itiquira";188191,13;187477,23;193206,27;116960,44;685835,07
"510480 Jaciara";560376,98;547266,06;571967,98;763805,99;2443417,01
"510500 Jauru";-;127535,18;94380,87;66962,53;288878,58
"510510 Juara";761258,87;576468,64;747426,59;815244,07;2900398,17
"510515 Juína";1282072,67;1988975,51;1861071,03;2651426,85;7783546,06
"510517 Juruena";188258,93;185184,19;207481,96;209431,93;790357,01
"510520 Juscimeira";178392,68;167897,07;164908,70;100277,63;611476,08
"510525 Lucas do Rio Verde";891000,65;1862940,70;1813230,10;2628388,33;7195559,78
"510558 Marcelândia";265070,36;272933,47;223045,11;244872,75;1005921,69
"510560 Matupá";310388,76;309797,81;343018,40;310306,76;1273511,73
"510562 Mirassol d'Oeste";286938,86;284108,16;292804,17;423626,16;1287477,35
"510590 Nobres";598632,27;559140,70;585664,00;656378,11;2399815,08
"510600 Nortelândia";60575,52;76711,07;84282,09;-;221568,68
"510610 Nossa Senhora do Livramento";50596,45;39814,07;27704,25;51927,15;170041,92
"510622 Nova Mutum";1124706,73;961549,84;1101074,40;2469016,05;5656347,02
"510623 Nova Olímpia";476554,13;584232,30;600306,99;390104,73;2051198,15
"510625 Nova Xavantina";392199,95;364349,45;436686,52;482883,02;1676118,94
"510627 Novo Horizonte do Norte";57050,61;38510,69;46439,44;29751,56;171752,30
"510628 Novo São Joaquim";48455,46;32034,37;100256,90;141339,16;322085,89
"510629 Paranaíta";94843,47;95728,48;83880,00;141950,70;416402,65
"510630 Paranatinga";354852,44;424757,91;405198,53;545587,21;1730396,09
"510637 Pedra Preta";176048,14;171271,82;107586,51;181787,54;636694,01
"510642 Peixoto de Azevedo";1396055,72;1303077,12;1288500,33;1557700,38;5545333,55
"510650 Poconé";252981,01;499124,66;594274,63;658750,68;2005130,98
"510670 Ponte Branca";24240,36;38137,72;32078,46;15920,11;110376,65
"510675 Pontes e Lacerda";373262,52;1271000,29;1363560,09;1472618,77;4480441,67
"510680 Porto dos Gaúchos";76890,08;97623,31;87602,38;147805,12;409920,89
"510700 Poxoréo";382629,79;436199,51;485334,54;526142,81;1830306,65
"510704 Primavera do Leste";3606360,04;3918349,40;4094996,67;4662163,09;16281869,20
"510706 Querência";425414,95;339778,87;521954,45;690442,32;1977590,59
"510718 Ribeirão Cascalheira";76235,76;67282,01;120523,91;111111,47;375153,15
"510719 Ribeirãozinho";55600,37;50364,42;43176,64;26831,23;175972,66
"510720 Rio Branco";89750,29;92471,45;44295,88;20698,30;247215,92
