 Produção Ambulatorial do SUS - por gestor -  Brasil
Valor aprovado por Município gestor e Ano processamento
Financiamento: 05 Incentivo - MAC, 06 Média e Alta Complexidade (MAC)
Período:2017-2020
"Município gestor";"2017";"2018";"2019";"2020";"Total"
"171320 Miracema do Tocantins";226167,08;468834,86;474251,24;217432,25;1386685,43
"171330 Miranorte";349506,31;260465,43;281713,18;215860,27;1107545,19
"171360 Monte do Carmo";112548,29;115542,87;128622,64;115626,45;472340,25
"171370 Monte Santo do Tocantins";-;22115,17;8696,06;4764,54;35575,77
"171395 Muricilândia";-;-;-;697,95;697,95
"171420 Natividade";6314,61;116846,46;182022,77;120112,73;425296,57
"171430 Nazaré";65852,55;83905,88;76722,02;25635,36;252115,81
"171488 Nova Olinda";369276,33;544274,67;521960,84;329672,96;1765184,80
"171500 Nova Rosalândia";32930,55;46997,49;43021,41;35234,08;158183,53
"171510 Novo Acordo";-;51600,00;37555,00;9150,00;98305,00
"171515 Novo Alegre";24289,81;10920,82;6296,61;41252,25;82759,49
"171550 Oliveira de Fátima";-;-;122,00;101,00;223,00
"172100 Palmas";16028923,85;16603247,54;17170625,93;11609882,53;61412679,85
"171570 Palmeirante";-;-;43,00;40,00;83,00
"171380 Palmeiras do Tocantins";4200,00;40200,00;36150,00;5850,00;86400,00
"171575 Palmeirópolis";126142,95;119375,65;103447,65;146625,99;495592,24
"171610 Paraíso do Tocantins";1194530,62;1421028,23;1632880,07;1130519,60;5378958,52
"171620 Paranã";261786,88;263047,82;256037,73;215205,64;996078,07
"171650 Pedro Afonso";-;9,00;87,00;60,00;156,00
"171660 Peixe";322946,94;412682,40;283165,37;246081,68;1264876,39
"171665 Pequizeiro";60573,97;56382,05;64859,26;47260,59;229075,87
"171700 Pindorama do Tocantins";52795,82;2271,35;2933,13;5400,10;63400,40
"171720 Piraquê";28399,21;9379,00;14678,98;16889,28;69346,47
"171750 Pium";151194,78;115781,20;30411,66;105399,13;402786,77
"171780 Ponte Alta do Bom Jesus";49908,74;43870,79;36325,58;25428,85;155533,96
"171790 Ponte Alta do Tocantins";23675,02;40010,54;63215,97;66708,41;193609,94
"171820 Porto Nacional";2426405,88;3017046,60;3455406,11;3086415,35;11985273,94
"171830 Praia Norte";-;-;48295,38;44134,71;92430,09
"171840 Presidente Kennedy";1093,07;3104,99;260,48;-;4458,54
"171845 Pugmil";-;-;-;24493,39;24493,39
"171855 Riachinho";48535,00;84150,00;61803,22;36936,00;231424,22
"171880 Sampaio";-;-;33553,80;93567,60;127121,40
"171884 Sandolândia";-;-;14550,00;24300,00;38850,00
"171886 Santa Fé do Araguaia";37300,34;70924,93;10797,12;6592,42;125614,81
"171889 Santa Rita do Tocantins";-;-;-;2850,00;2850,00
"171890 Santa Rosa do Tocantins";-;-;15900,00;42059,90;57959,90
"172000 Santa Terezinha do Tocantins";2100,00;43575,22;40892,10;18287,08;104854,40
"172020 São Miguel do Tocantins";1552,84;6451,16;2946,04;24447,00;35397,04
"172025 São Salvador do Tocantins";-;213,75;18,00;59,00;290,75
"172030 São Sebastião do Tocantins";-;21450,00;71250,00;-;92700,00
"172049 São Valério";-;21125,45;137820,29;127151,22;286096,96
"172065 Silvanópolis";108436,14;136972,25;76272,55;160311,36;481992,30
"172080 Sítio Novo do Tocantins";69558,93;68293,39;89182,65;45978,53;273013,50
"172090 Taguatinga";93118,88;135287,46;103880,79;19068,26;351355,39
"172097 Talismã";50035,20;53598,18;47719,66;52210,37;203563,41
"172110 Tocantínia";25891,11;-;12427,19;16885,57;55203,87
"172120 Tocantinópolis";1353395,29;1187694,84;1255726,06;1484285,91;5281102,10
"172130 Tupiratins";-;-;12750,00;36750,00;49500,00
"172208 Wanderlândia";-;6450,00;28800,00;10650,00;45900,00
"170000 Tocantins - Gestão estadual";48315570,69;51431268,09;55836038,64;45761088,85;201343966,27
"210005 Açailândia";4830421,72;7010268,94;6636329,98;6754185,15;25231205,79
"210010 Afonso Cunha";209,00;16880,94;400669,45;3111320,93;3529080,32
"210015 Água Doce do Maranhão";67418,03;76157,01;51452,00;52154,00;247181,04
"210020 Alcântara";65091,84;118665,52;152610,49;217376,09;553743,94
"210030 Aldeias Altas";44446,35;49292,34;59341,08;37132,77;190212,54
"210040 Altamira do Maranhão";10763,90;28763,17;36239,57;15267,52;91034,16
"210043 Alto Alegre do Maranhão";381649,87;261960,08;71018,50;90587,06;805215,51
"210047 Alto Alegre do Pindaré";799410,55;1988254,62;1188757,15;942659,91;4919082,23
"210050 Alto Parnaíba";-;40653,26;76767,83;15732,88;133153,97
"210060 Amarante do Maranhão";990193,42;1415145,71;1511828,39;1446462,92;5363630,44
"210070 Anajatuba";907749,45;994580,25;1303271,83;591625,32;3797226,85
"210080 Anapurus";70064,11;842813,46;828962,24;273797,18;2015636,99
"210083 Apicum-Açu";98798,28;1359792,25;5228886,81;560804,55;7248281,89
"210087 Araguanã";84793,06;291003,54;278787,86;241286,85;895871,31
"210090 Araioses";395854,98;362281,77;368175,19;201166,40;1327478,34
"210095 Arame";-;757877,03;774673,34;531030,07;2063580,44
"210100 Arari";1036601,16;1263343,60;1361074,15;978158,25;4639177,16
"210110 Axixá";509497,90;546179,62;440275,80;456376,24;1952329,56
"210120 Bacabal";8178962,15;9877433,96;13352886,51;15260246,62;46669529,24
"210125 Bacabeira";79297,81;517466,56;573319,42;411906,86;1581990,65
"210130 Bacuri";-;251048,97;356756,99;186611,00;794416,96
"210135 Bacurituba";36235,40;62272,54;10549,83;19228,63;128286,40
"210140 Balsas";6938180,15;7092068,85;7544916,91;6106635,47;27681801,38
"210150 Barão de Grajaú";1184336,32;814411,25;731726,89;196816,74;2927291,20
"210160 Barra do Corda";5053168,45;5800988,68;4596451,39;2959901,65;18410510,17
"210170 Barreirinhas";41935,09;22077,12;4556,04;-;68568,25
"210177 Bela Vista do Maranhão";-;664276,84;658008,14;5225746,99;6548031,97
"210173 Belágua";-;97872,21;118023,76;50660,35;266556,32
"210180 Benedito Leite";-;12779,76;56713,53;39834,66;109327,95
"210190 Bequimão";57100,81;2686350,65;2651890,32;269945,40;5665287,18
"210193 Bernardo do Mearim";357956,23;444193,91;2314002,61;3012089,56;6128242,31
"210197 Boa Vista do Gurupi";79614,14;530992,11;-;-;610606,25
"210200 Bom Jardim";105176,71;216110,58;187121,58;201798,83;710207,70
"210203 Bom Jesus das Selvas";166762,30;414700,43;407070,01;377488,42;1366021,16
