id_municipio,2017,Ideb
1507607,4.4,4.4
1507706,4.1,4.5
1507755,4.1,4.5
1507805,4.4,4.1
1507904,4,4.2
1507953,4.4,4.6
1507961,4.8,4.4
1507979,5.6,5.7
1508001,4.6,4.7
1508035,3.8,3.7
1508050,4.7,4.6
1508084,4.5,4.4
1508100,4.6,4.7
1508126,6,6.1
1508159,4.4,4.5
1508209,4.1,4.3
1508308,3.7,3.6
1508357,4.9,5.7
1508407,4.4,4.8
1600055,5.1,4.9
1600105,3.7,4
1600154,4.6,4.8
1600204,3.4,3.4
1600212,3.4,4.1
1600238,3.6,3.8
1600253,4.1,4.2
1600279,4.3,4.6
1600303,4.5,4.9
1600402,4.2,3.9
1600501,4,4.1
1600535,4.1,4.4
1600550,2.7,-
1600600,4.8,4.8
1600709,3.8,3.9
1600808,3.6,4.3
1700251,4.9,5.5
1700301,4.4,4.8
1700350,6,5.9
1700400,4.5,5
1700707,5.6,5.8
1701002,5.1,5.2
1701051,5,5
1701101,5.7,5.6
1701309,4.4,4.3
1701903,4.5,4.7
1702000,5.9,6.3
1702109,6.1,6
1702158,5.4,-
1702208,5.2,5.3
1702307,5.3,5.7
1702406,5.1,4.8
1702554,5.6,5.6
1702703,6,5.3
1702901,4.3,4.5
1703008,4.3,3.9
1703057,4.7,4.9
1703073,4.1,4
1703107,5.1,5.5
1703206,4.9,4.6
1703305,5.5,5
1703602,5.7,5.6
1703701,5,5.5
1703800,4.7,4.8
1703826,4.6,4.7
1703842,4.2,4.5
1703867,4.8,5.4
1703883,4.1,3.8
1703891,3.8,4.1
1703909,4.6,4.4
1704105,4.5,4.7
1704600,4.1,-
1705102,5,4.2
1705508,5.8,5.8
1705557,6.1,5.7
1705607,5.3,5.6
1706001,5.1,5.5
1706100,5.2,5.2
1706258,4.8,5.2
1706506,4.6,4.8
1707009,5.3,5
1707108,5.6,6
1707207,4.8,5.1
1707306,5.7,5.4
1707405,4,4
1707553,4.7,5.7
1707652,5.5,5.5
1707702,4.8,4.2
1708205,5.4,5.6
1708254,5.3,5.4
1708304,4.9,5.3
1709005,4.2,4.6
1709302,5.7,5.7
1709500,6,6.3
1709807,4.5,4.8
1710508,5.4,6.3
1710706,4.1,3.9
1710904,4.9,4.9
1711100,5.1,4.7
1711506,5.2,4.9
1711803,4,3.4
1711902,3.9,4.3
1711951,4.3,3.8
1712009,4.8,5.7
1712157,5.3,5.7
1712405,4.2,4
1712454,4.4,4.9
1712504,5,4.8
1712702,4.7,4.4
1712801,4.7,4.5
1713205,5,5
1713304,5.3,5.2
1713601,4.5,4.7
1713700,5.3,5.1
1713809,5.2,4.6
1713957,4.6,4.2
1714203,5.8,6
1714302,5.3,5
1714880,4,4.3
1715002,5.2,5.3
1715101,5,4.8
1715150,5.9,5.9
1715259,4.6,5.4
1715507,3.9,3.7
1715705,3.9,3.6
1715754,6,6.1
1716109,6.4,6.4
1716208,4.6,4.4
1716307,4.3,4.5
1716505,6,5.9
1716604,5,5
1716653,5.7,6
1716703,5.3,6
1717008,4.9,4.8
1717206,4.7,-
1717503,5,4.5
1717800,4.8,5
1717909,5,5.1
1718006,4.9,4.8
1718204,5.4,5.7
1718303,4,3.6
1718402,5.5,5.4
1718451,4.8,5.8
1718501,3.9,4.3
1718550,4.7,4.6
1718659,4.4,-
1718709,4.8,4.2
1718758,5.5,4.3
1718808,4.9,4.8
1718840,5.2,5.3
1718865,4.5,4.6
1718881,4.6,4.8
1718899,4.3,4.9
1718907,4.7,4.5
1719004,4,4.2
1720002,3.8,5.1
1720101,4.2,5.2
1720150,4.8,4
1720200,4,4.5
1720259,5,5.3
1720309,4.6,4.3
1720499,6.1,5.8
1720655,4.9,5.4
1720804,4.6,5
1720853,4.5,4.9
1720903,5.1,5.3
1720937,4.2,4.1
1720978,5,5.6
1721000,6.5,6.5
1721109,4.6,5
1721208,5.4,5.3
1721257,4.8,6
1721307,4.4,5.3
1722081,4.7,4.7
1722107,5.2,5.1
2100055,5,5.3
2100105,4.4,3.9
2100154,4.3,4.5
2100204,4.4,4.5
