 Produção Ambulatorial do SUS - por gestor -  Brasil
Qtd.aprovada por Município gestor e Ano processamento
Período:2017-2020
"Município gestor";"2017";"2018";"2019";"2020";"Total"
"420915 José Boiteux";29306;16104;40014;29605;115029
"420917 Jupiá";58450;54984;59253;37284;209971
"420920 Lacerdópolis";35778;6965;5470;8348;56561
"420930 Lages";2862553;2362384;2394275;1590759;9209971
"420940 Laguna";487351;301385;1173044;199173;2160953
"420945 Lajeado Grande";34168;35752;45481;22239;137640
"420950 Laurentino";68306;50646;70129;67162;256243
"420960 Lauro Muller";229715;70567;100197;209326;609805
"420970 Lebon Régis";115260;103747;80285;78544;377836
"420980 Leoberto Leal";26566;2100;4921;2246;35833
"420985 Lindóia do Sul";48843;46892;55853;26539;178127
"420990 Lontras";148965;148035;177928;141744;616672
"421000 Luiz Alves";157298;107403;108580;85534;458815
"421003 Luzerna";75169;75475;695;895;152234
"421005 Macieira";35775;279870;21495;134;337274
"421010 Mafra";551557;662446;814295;1021356;3049654
"421020 Major Gercino";12483;144;2001;10955;25583
"421030 Major Vieira";44757;260722;2341767;49107;2696353
"421040 Maracajá";69499;87921;90694;71184;319298
"421050 Maravilha";510274;593677;496766;229222;1829939
"421055 Marema";65534;54288;110594;30548;260964
"421060 Massaranduba";267579;320469;368736;252708;1209492
"421070 Matos Costa";37483;32789;29821;21117;121210
"421080 Meleiro";224651;272416;244679;212655;954401
"421085 Mirim Doce";39244;15348;360430;9737;424759
"421090 Modelo";61875;25599;35605;32032;155111
"421100 Mondaí";184122;92185;94129;83395;453831
"421105 Monte Carlo";53530;1226;978;1103;56837
"421110 Monte Castelo";123700;72733;796134;29357;1021924
"421120 Morro da Fumaça";199496;218858;404668;328114;1151136
"421125 Morro Grande";85918;179399;77275;60527;403119
"421130 Navegantes";916283;647603;749803;580310;2893999
"421140 Nova Erechim";66809;15124;32960;36196;151089
"421145 Nova Itaberaba";56337;18139;28963;10021;113460
"421150 Nova Trento";104796;75586;124242;114105;418729
"421160 Nova Veneza";249559;44743;39228;30876;364406
"421165 Novo Horizonte";16103;1021;703;554;18381
