 Produção Ambulatorial do SUS - por gestor -  Brasil
Qtd.aprovada por Município gestor e Ano processamento
Período:2017-2020
"Município gestor";"2017";"2018";"2019";"2020";"Total"
"110001 Alta Floresta D'Oeste";320128;283438;296710;229353;1129629
"110037 Alto Alegre dos Parecis";41785;59188;54753;68619;224345
"110040 Alto Paraíso";175613;110292;497102;133799;916806
"110034 Alvorada D'Oeste";109191;113549;65996;20718;309454
"110002 Ariquemes";840950;1071912;1400303;1244865;4558030
"110045 Buritis";124041;59691;108858;239853;532443
"110003 Cabixi";60769;54902;63621;34407;213699
"110060 Cacaulândia";17232;23020;25397;32210;97859
"110004 Cacoal";913225;548287;590852;439567;2491931
"110070 Campo Novo de Rondônia";412265;372702;223826;156806;1165599
"110080 Candeias do Jamari";188045;130693;134983;33589;487310
"110090 Castanheiras";40816;25835;33154;22471;122276
"110005 Cerejeiras";201240;192007;176586;127412;697245
"110092 Chupinguaia";108018;71641;98526;216314;494499
"110006 Colorado do Oeste";136767;102530;132198;124272;495767
"110007 Corumbiara";211837;33504;37419;21062;303822
"110008 Costa Marques";54788;27276;60434;47864;190362
"110094 Cujubim";140151;157796;162297;1029623;1489867
"110009 Espigão D'Oeste";434780;266389;454515;293469;1449153
"110100 Governador Jorge Teixeira";101260;79095;136184;407011;723550
"110010 Guajará-Mirim";462950;264346;288916;305618;1321830
"110110 Itapuã do Oeste";174833;155710;165760;92491;588794
"110011 Jaru";872394;1132133;1262668;1445920;4713115
"110012 Ji-Paraná";5390815;5216763;6169418;2329136;19106132
"110013 Machadinho D'Oeste";270765;274971;266947;260395;1073078
"110120 Ministro Andreazza";62692;6888;6568;3684;79832
"110130 Mirante da Serra";73937;76880;52832;57129;260778
"110140 Monte Negro";137276;183307;113855;99793;534231
"110014 Nova Brasilândia D'Oeste";74403;193666;173322;109134;550525
"110033 Nova Mamoré";222737;184873;130740;136666;675016
"110143 Nova União";32164;31955;48349;36945;149413
"110050 Novo Horizonte do Oeste";59807;47217;35420;24054;166498
"110015 Ouro Preto do Oeste";310605;218940;273147;236110;1038802
"110145 Parecis";39565;13410;7642;8836;69453
"110018 Pimenta Bueno";382461;358041;378594;279894;1398990
"110146 Pimenteiras do Oeste";21961;10571;24028;21950;78510
"110020 Porto Velho";6173651;5374809;5607105;4166093;21321658
"110025 Presidente Médici";79508;200346;109482;67318;456654
"110147 Primavera de Rondônia";44155;10024;8388;6292;68859
"110026 Rio Crespo";25354;12169;18072;14146;69741
"110028 Rolim de Moura";1368018;370310;410318;323269;2471915
"110029 Santa Luzia D'Oeste";236491;132755;123069;145355;637670
"110148 São Felipe D'Oeste";47495;52085;52610;29666;181856
"110149 São Francisco do Guaporé";186128;246854;311735;247507;992224
"110032 São Miguel do Guaporé";101392;91863;103122;91802;388179
"110150 Seringueiras";116414;54801;61119;49186;281520
"110155 Teixeirópolis";40545;7249;22956;19256;90006
"110160 Theobroma";124167;111558;140942;62970;439637
"110170 Urupá";146661;114514;119274;74648;455097
"110175 Vale do Anari";157696;152158;132946;74763;517563
"110180 Vale do Paraíso";51673;60823;62419;45852;220767
"110030 Vilhena";790914;855127;1014276;998055;3658372
"110000 Rondônia - Gestão estadual";9724781;11575742;10970369;8954490;41225382
"120001 Acrelândia";84752;896;1227;1900;88775
"120005 Assis Brasil";29751;261;-;-;30012
"120010 Brasiléia";131615;14616;8504;4082;158817
"120013 Bujari";46123;106;147;156;46532
"120017 Capixaba";36454;1157;564;1247;39422
"120020 Cruzeiro do Sul";1031039;1132646;1365052;367150;3895887
"120025 Epitaciolândia";56955;1245;131;-;58331
"120030 Feijó";121672;28057;827;560;151116
"120032 Jordão";25528;170;219;799;26716
"120033 Mâncio Lima";86004;5683;13758;18551;123996
"120034 Manoel Urbano";28860;204;262;568;29894
"120035 Marechal Thaumaturgo";77015;15080;9653;10255;112003
"120038 Plácido de Castro";158196;162422;1745;872;323235
"120080 Porto Acre";36101;358;217;198;36874
"120039 Porto Walter";23400;498;515;428;24841
"120040 Rio Branco";2095116;709865;1526215;1318208;5649404
"120042 Rodrigues Alves";34750;644;9765;390;45549
"120043 Santa Rosa do Purus";13078;230;206;429;13943
"120050 Sena Madureira";172323;2681;2242;2744;179990
"120045 Senador Guiomard";118409;704;494;289;119896
"120060 Tarauacá";177380;680;611;638;179309
"120070 Xapuri";4663;220;195;307;5385
"120000 Acre - Gestão estadual";8235729;8506491;10022843;7437953;34203016
"130002 Alvarães";68123;-;-;-;68123
"130006 Amaturá";42065;116;201;25292;67674
"130008 Anamã";37965;-;-;-;37965
"130010 Anori";87304;5715;2941;2606;98566
"130014 Apuí";150320;537;76071;90774;317702
"130020 Atalaia do Norte";281645;527055;458063;5802;1272565
"130030 Autazes";1409572;785;39080;120078;1569515
"130040 Barcelos";71659;1175;305;3264;76403
"130050 Barreirinha";104434;1060;9487;18229;133210
"130060 Benjamin Constant";249840;187494;396202;460778;1294314
"130063 Beruri";249811;4650;18782;140606;413849
"130068 Boa Vista do Ramos";44377;733;17498;28909;91517
"130070 Boca do Acre";63146;650;679;174416;238891
"130080 Borba";263365;62847;83483;47349;457044
"130083 Caapiranga";79103;1161;1090;22227;103581
"130090 Canutama";143013;309;7367;41120;191809
"130100 Carauari";149128;46272;84665;132831;412896
"130110 Careiro";305094;636;29870;85472;421072
"130115 Careiro da Várzea";90086;32802;33666;31012;187566
"130120 Coari";823680;577494;832150;706827;2940151
"130130 Codajás";62104;1283;1921;2649;67957
"130140 Eirunepé";286656;178964;92827;69771;628218
"130150 Envira";323807;126440;155724;291642;897613
"130160 Fonte Boa";151383;148833;134213;46752;481181
"130165 Guajará";52738;698019;284094;76243;1111094
"130170 Humaitá";639007;389255;413787;233775;1675824
"130185 Iranduba";179378;49069;84419;82335;395201
"130190 Itacoatiara";1920789;1685544;1450504;1197470;6254307
"130200 Itapiranga";54480;915;637;-;56032
"130210 Japurá";18690;350;241;36;19317
"130220 Juruá";22403;215;-;-;22618
"130230 Jutaí";84373;20727;384;-;105484
"130240 Lábrea";144193;14179;13703;47913;219988
"130250 Manacapuru";965591;726769;990998;696311;3379669
"130255 Manaquiri";50113;463;40165;83143;173884
"130260 Manaus";11979204;7982123;7725911;4129031;31816269
"130270 Manicoré";1263643;516;399;461;1265019
"130280 Maraã";93350;11440;69;-;104859
"130290 Maués";383885;498714;552439;276396;1711434
"130300 Nhamundá";54129;-;-;-;54129
"130310 Nova Olinda do Norte";124205;976;70788;267991;463960
"130320 Novo Airão";121758;296214;278028;100124;796124
"130330 Novo Aripuanã";70171;-;-;-;70171
"130340 Parintins";1185605;1128575;904822;895346;4114348
"130350 Pauini";100528;41291;47309;65923;255051
"130353 Presidente Figueiredo";290764;200358;193795;175933;860850
"130356 Rio Preto da Eva";181995;17082;154211;185508;538796
"130360 Santa Isabel do Rio Negro";42308;1708;1667;-;45683
"130370 Santo Antônio do Içá";309351;129263;15259;14207;468080
"130380 São Gabriel da Cachoeira";228686;9660;66592;75273;380211
"130390 São Paulo de Olivença";298811;197336;263914;317618;1077679
"130395 São Sebastião do Uatumã";60787;224941;28316;1208;315252
"130400 Silves";95501;134;162;29003;124800
"130406 Tabatinga";559561;738807;829890;2019;2130277
"130410 Tapauá";11849;-;-;-;11849
"130420 Tefé";1251254;648351;740797;484017;3124419
"130423 Tonantins";156672;204594;317748;589746;1268760
"130426 Uarini";41628;-;-;-;41628
"130430 Urucará";333758;353510;9044;1160;697472
"130440 Urucurituba";205194;11752;718;775;218439
"130000 Amazonas - Gestão estadual";33785084;29917695;30907851;24190381;118801011
"140005 Alto Alegre";28955;251;143;333;29682
"140002 Amajari";10060;-;-;165;10225
"140010 Boa Vista";2516645;1840935;1686447;1225636;7269663
"140015 Bonfim";93230;146;215;647;94238
"140017 Cantá";19859;519269;-;139;539267
"140020 Caracaraí";278698;1100;1057;1587;282442
"140023 Caroebe";705678;-;-;157;705835
"140028 Iracema";39691;43755;49446;66899;199791
"140030 Mucajaí";63705;284;1355;2420;67764
"140040 Normandia";12577;-;-;44;12621
"140045 Pacaraima";25504;302;232;392;26430
"140047 Rorainópolis";62587;2520;1442;847;67396
"140050 São João da Baliza";9204;3556;133;163;13056
"140060 São Luiz";19908;3636;279;183;24006
"140070 Uiramutã";6976;-;-;130;7106
"140000 Roraima - Gestão estadual";5264064;5449331;4705635;3601562;19020592
"150010 Abaetetuba";2071035;1981171;1802107;891036;6745349
"150013 Abel Figueiredo";105260;69816;62851;60381;298308
"150020 Acará";434878;18336;376313;293852;1123379
"150030 Afuá";91842;80558;49855;1643;223898
"150034 Água Azul do Norte";386216;333303;289031;313727;1322277
"150040 Alenquer";188441;119803;75721;55068;439033
"150050 Almeirim";228672;1326717;565753;114325;2235467
"150060 Altamira";1109949;561277;848849;179926;2700001
"150070 Anajás";534111;300674;301004;258962;1394751
"150080 Ananindeua";7521909;5973744;6021341;4184129;23701123
"150085 Anapu";299151;331290;405456;315935;1351832
"150090 Augusto Corrêa";348308;2963;2659;4926;358856
"150095 Aurora do Pará";132206;19808;56815;65071;273900
"150100 Aveiro";103517;35420;40762;42894;222593
"150110 Bagre";62750;88;77;-;62915
"150120 Baião";376319;1359763;208698;153675;2098455
"150125 Bannach";57245;31587;40241;32830;161903
"150130 Barcarena";2178369;1964259;1963089;2164076;8269793
"150140 Belém";24148114;23057467;21255811;17918778;86380170
"150145 Belterra";210537;137363;128672;147568;624140
"150150 Benevides";722771;551803;579753;649161;2503488
"150157 Bom Jesus do Tocantins";131833;95655;51240;42213;320941
"150160 Bonito";166718;96962;73624;11314;348618
"150170 Bragança";1154631;164183;194466;149394;1662674
"150172 Brasil Novo";218603;162486;167105;106808;655002
"150175 Brejo Grande do Araguaia";99727;67095;73239;36158;276219
"150178 Breu Branco";493684;560393;585847;408287;2048211
"150180 Breves";1403512;1759455;2239835;1854989;7257791
"150190 Bujaru";132866;108897;49440;32930;324133
"150200 Cachoeira do Arari";299195;144070;318954;118798;881017
"150195 Cachoeira do Piriá";101539;689;706;1452;104386
"150210 Cametá";1253873;809318;833341;641223;3537755
"150215 Canaã dos Carajás";642478;560084;884887;1118054;3205503
"150220 Capanema";1384780;1136123;1086211;696839;4303953
"150230 Capitão Poço";374647;233976;286670;221675;1116968
"150240 Castanhal";2437540;2357696;2801790;1848679;9445705
"150250 Chaves";105988;76418;63865;35962;282233
"150260 Colares";194752;196778;182357;150976;724863
"150270 Conceição do Araguaia";418827;361020;382794;304083;1466724
"150275 Concórdia do Pará";296712;682570;274121;367117;1620520
"150276 Cumaru do Norte";163117;61525;75996;80373;381011
"150277 Curionópolis";195453;202447;168923;77380;644203
"150280 Curralinho";255178;195909;171932;125048;748067
"150285 Curuá";125092;34166;382;419;160059
"150290 Curuçá";590938;413956;286026;94981;1385901
"150293 Dom Eliseu";587302;643539;486329;118829;1835999
"150295 Eldorado do Carajás";718342;451552;796862;254888;2221644
"150300 Faro";53966;2369;2752;2209;61296
"150304 Floresta do Araguaia";309760;295116;162741;51429;819046
"150307 Garrafão do Norte";148627;44825;54131;52401;299984
"150309 Goianésia do Pará";282873;313860;204908;302392;1104033
"150310 Gurupá";690341;695629;691887;595845;2673702
"150320 Igarapé-Açu";818649;178874;289114;213081;1499718
"150330 Igarapé-Miri";667411;434165;389880;880944;2372400
"150340 Inhangapi";130230;95972;110240;74843;411285
"150345 Ipixuna do Pará";475420;168089;157387;109992;910888
"150350 Irituia";216163;32777;59913;75357;384210
"150360 Itaituba";819698;475731;623808;205737;2124974
"150370 Itupiranga";425420;463937;570857;372008;1832222
"150375 Jacareacanga";81073;1539;2354;355;85321
"150380 Jacundá";317118;501070;208266;222919;1249373
"150390 Juruti";750763;789279;631307;319474;2490823
"150400 Limoeiro do Ajuru";133363;173917;125067;114145;546492
"150405 Mãe do Rio";146679;21305;70153;67286;305423
"150410 Magalhães Barata";99859;3392;16128;5829;125208
"150420 Marabá";1255702;1279640;1391703;821584;4748629
"150430 Maracanã";377058;162834;143754;94460;778106
"150440 Marapanim";248121;311272;304488;202161;1066042
"150442 Marituba";1471482;1691780;2207949;2060611;7431822
"150445 Medicilândia";392241;267815;252083;137492;1049631
"150450 Melgaço";50063;79652;100344;20230;250289
"150460 Mocajuba";356160;386871;385574;276574;1405179
"150470 Moju";933102;1192027;702797;522274;3350200
"150475 Mojuí dos Campos";261048;281612;276665;43187;862512
"150480 Monte Alegre";486682;270563;281284;150881;1189410
"150490 Muaná";243275;284585;300306;185063;1013229
"150495 Nova Esperança do Piriá";205443;178790;204832;140202;729267
"150497 Nova Ipixuna";152920;188316;227031;148247;716514
"150500 Nova Timboteua";103978;22428;25305;23442;175153
"150503 Novo Progresso";223694;93750;115539;78686;511669
"150506 Novo Repartimento";470214;456288;564858;409419;1900779
"150510 Óbidos";453878;263689;328712;220822;1267101
"150520 Oeiras do Pará";301238;549881;384380;20909;1256408
"150530 Oriximiná";1650315;1447272;949157;1084308;5131052
"150540 Ourém";350957;241946;232765;180970;1006638
"150543 Ourilândia do Norte";614647;160958;48724;25469;849798
"150548 Pacajá";588506;275558;350903;169644;1384611
"150549 Palestina do Pará";124314;130522;135499;28035;418370
"150550 Paragominas";1307076;1373529;1953007;924438;5558050
"150553 Parauapebas";3035258;2510823;2667100;2163746;10376927
"150555 Pau D'Arco";171502;168722;191050;206415;737689
"150560 Peixe-Boi";82032;38528;41477;28081;190118
"150563 Piçarra";36513;136383;17158;2084;192138
"150565 Placas";376380;195642;234540;134998;941560
"150570 Ponta de Pedras";138855;60234;56750;29927;285766
"150580 Portel";119834;111324;67642;74369;373169
"150590 Porto de Moz";316333;248245;242574;165524;972676
"150600 Prainha";270463;67461;63087;57987;458998
"150610 Primavera";176023;101713;24835;34768;337339
"150611 Quatipuru";109204;154655;152096;62076;478031
"150613 Redenção";1467186;1143001;1126294;891997;4628478
"150616 Rio Maria";189160;79279;120116;130170;518725
"150618 Rondon do Pará";126990;3965;5932;8850;145737
"150619 Rurópolis";867327;940295;367787;440092;2615501
"150620 Salinópolis";547703;173245;237919;248255;1207122
"150630 Salvaterra";835475;505557;233748;118770;1693550
"150635 Santa Bárbara do Pará";138509;89971;182;553;229215
"150640 Santa Cruz do Arari";100805;73674;163;221;174863
"150650 Santa Izabel do Pará";514714;643114;606249;304713;2068790
"150655 Santa Luzia do Pará";22756;46199;51148;39912;160015
"150658 Santa Maria das Barreiras";156968;117731;159654;91410;525763
"150660 Santa Maria do Pará";207412;71700;77795;49553;406460
"150670 Santana do Araguaia";766061;610757;662905;653627;2693350
"150680 Santarém";5852359;3276457;3901037;2332918;15362771
"150690 Santarém Novo";53732;799;335;424;55290
"150700 Santo Antônio do Tauá";86606;21048;17648;17728;143030
"150710 São Caetano de Odivelas";123207;95898;107070;83723;409898
"150715 São Domingos do Araguaia";149014;91635;99208;32722;372579
"150720 São Domingos do Capim";207157;285655;6011;37834;536657
"150730 São Félix do Xingu";507974;318654;298101;323267;1447996
"150740 São Francisco do Pará";202192;170229;83421;25988;481830
"150745 São Geraldo do Araguaia";307317;315031;211366;175839;1009553
"150746 São João da Ponta";64136;67452;54912;33112;219612
"150747 São João de Pirabas";253403;201796;166360;158772;780331
"150750 São João do Araguaia";130409;117721;126880;88766;463776
"150760 São Miguel do Guamá";1041776;426198;459122;356501;2283597
"150770 São Sebastião da Boa Vista";56355;73841;56176;-;186372
"150775 Sapucaia";132924;308;-;-;133232
"150780 Senador José Porfírio";241794;122855;84457;117124;566230
"150790 Soure";795355;283908;279444;376182;1734889
"150795 Tailândia";386790;266726;293325;155486;1102327
"150796 Terra Alta";124818;155399;150571;122088;552876
"150797 Terra Santa";238218;158378;157511;120222;674329
"150800 Tomé-Açu";907381;663980;769534;571950;2912845
"150803 Tracuateua";224439;6704;8704;4630;244477
"150805 Trairão";144783;89631;95202;65963;395579
"150808 Tucumã";377970;236544;243745;227351;1085610
"150810 Tucuruí";2810636;1434527;1514342;1342573;7102078
"150812 Ulianópolis";538178;168621;266344;199370;1172513
"150815 Uruará";764663;867746;935604;695854;3263867
"150820 Vigia";522132;655726;473782;854433;2506073
"150830 Viseu";401190;270417;296221;310948;1278776
"150835 Vitória do Xingu";354208;388264;262454;116104;1121030
"150840 Xinguara";1875312;1192106;1163274;907215;5137907
"150000 Pará - Gestão estadual";11350172;11107038;12408882;12819760;47685852
"160010 Amapá";51542;377;597;14557;67073
"160020 Calçoene";44168;-;-;-;44168
"160021 Cutias";7708;-;-;-;7708
"160023 Ferreira Gomes";26545;58931;65376;8110;158962
"160025 Itaubal";20157;443311;13382;12777;489627
"160027 Laranjal do Jari";245599;84320;99037;111630;540586
"160030 Macapá";2511395;407452;718588;593542;4230977
"160040 Mazagão";35748;1496;3463;5905;46612
"160050 Oiapoque";150088;25271;33950;1848;211157
"160015 Pedra Branca do Amapari";21972;32363;20229;26815;101379
"160053 Porto Grande";124312;58256;82691;70339;335598
"160055 Pracuúba";20712;121;231;58;21122
"160060 Santana";365149;54321;136588;73272;629330
"160005 Serra do Navio";37243;38814;58582;1125;135764
"160070 Tartarugalzinho";45879;673;937;3464;50953
"160080 Vitória do Jari";114388;28317;25686;28997;197388
"160000 Amapá - Gestão estadual";3477388;4852915;4438738;4047722;16816763
"170025 Abreulândia";17316;112;97;149;17674
"170030 Aguiarnópolis";41609;390;657;494;43150
"170035 Aliança do Tocantins";63618;48361;34520;21937;168436
"170040 Almas";90141;139266;144241;90360;464008
"170070 Alvorada";87615;480;1034;1955;91084
"170100 Ananás";84504;66849;61957;22113;235423
"170105 Angico";13222;136;1249;1135;15742
"170110 Aparecida do Rio Negro";30588;8045;41151;6125;85909
"170130 Aragominas";44613;3463;7546;14993;70615
"170190 Araguacema";27211;6714;1089;2095;37109
"170200 Araguaçu";51331;536;1101;2102;55070
"170210 Araguaína";6712273;3243649;1790531;1461145;13207598
"170215 Araguanã";160774;18420;15041;10251;204486
"170220 Araguatins";75720;106370;166100;129065;477255
"170230 Arapoema";46593;2944;112;497;50146
"170240 Arraias";44749;399;128;284;45560
"170255 Augustinópolis";132880;9461;18456;11895;172692
"170270 Aurora do Tocantins";31286;180;179;38;31683
"170290 Axixá do Tocantins";72677;2315;1093;1497;77582
"170300 Babaçulândia";22601;9189;9132;5165;46087
"170305 Bandeirantes do Tocantins";108732;9465;7307;2005;127509
"170307 Barra do Ouro";38958;87;-;-;39045
"170310 Barrolândia";100962;112441;68276;41480;323159
"170320 Bernardo Sayão";45398;41299;752020;941778;1780495
"170330 Bom Jesus do Tocantins";12913;307;582;416;14218
"170360 Brasilândia do Tocantins";4684;2965;1527;1227;10403
"170370 Brejinho de Nazaré";42871;29604;35113;26593;134181
"170380 Buriti do Tocantins";58957;10190;8793;5145;83085
"170382 Cachoeirinha";24117;2600;1935;485;29137
"170384 Campos Lindos";678;689;2035;1678;5080
"170386 Cariri do Tocantins";89022;36502;64599;32293;222416
"170388 Carmolândia";54067;7195;1179;1185;63626
"170389 Carrasco Bonito";53699;330;459;860;55348
"170390 Caseara";23991;10574;1551;2894;39010
"170410 Centenário";212550;135941;173;325;348989
"170510 Chapada da Natividade";19631;25440;29010;14845;88926
"170460 Chapada de Areia";14895;637;4767;3619;23918
"170550 Colinas do Tocantins";329776;287872;120519;72122;810289
"171670 Colméia";126510;205164;137922;107591;577187
"170555 Combinado";33061;7652;4974;3504;49191
"170560 Conceição do Tocantins";60003;21501;19724;19693;120921
"170600 Couto Magalhães";39940;14797;47587;58084;160408
"170610 Cristalândia";123429;72712;38164;40339;274644
"170625 Crixás do Tocantins";24819;118281;6255;8714;158069
"170650 Darcinópolis";10137;1540;749;2623;15049
"170700 Dianópolis";76663;5059;7762;7665;97149
"170710 Divinópolis do Tocantins";146591;91241;102880;83798;424510
"170720 Dois Irmãos do Tocantins";409917;16534;9746;22627;458824
"170730 Dueré";99187;107089;56561;34767;297604
"170740 Esperantina";96921;66058;69729;56079;288787
"170755 Fátima";39416;16561;27856;18630;102463
"170765 Figueirópolis";763;137;105;274;1279
"170770 Filadélfia";60095;25789;15931;11274;113089
"170820 Formoso do Araguaia";97790;19483;54937;61842;234052
"170825 Fortaleza do Tabocão";126306;127;445;4357;131235
"170830 Goianorte";56789;13394;9151;7075;86409
"170900 Goiatins";79781;28835;44840;35526;188982
"170930 Guaraí";236447;99493;165466;81796;583202
"170950 Gurupi";1803567;1537874;1793886;1263274;6398601
"170980 Ipueiras";2190;318;3485;3471;9464
"171050 Itacajá";330400;16672;11841;9810;368723
"171070 Itaguatins";53988;3925;4435;2023;64371
"171090 Itapiratins";31717;6491;10105;6626;54939
"171110 Itaporã do Tocantins";33561;394;9915;5393;49263
"171150 Jaú do Tocantins";49185;5374;6189;7453;68201
"171180 Juarina";20480;197;139;261;21077
"171190 Lagoa da Confusão";73522;13823;36828;58210;182383
"171195 Lagoa do Tocantins";48189;105;5502;2002;55798
"171200 Lajeado";6587;4990;3599;1354;16530
"171215 Lavandeira";10930;598;1394;3061;15983
"171240 Lizarda";6583;43;104;140;6870
"171245 Luzinópolis";23572;1052;1029;1330;26983
"171250 Marianópolis do Tocantins";16707;13438;13535;13316;56996
"171270 Mateiros";14061;808;629;403;15901
"171280 Maurilândia do Tocantins";12609;564;826;689;14688
"171320 Miracema do Tocantins";481988;95684;86878;52048;716598
"171330 Miranorte";971245;23505;26447;30102;1051299
"171360 Monte do Carmo";675825;152438;241047;73540;1142850
"171370 Monte Santo do Tocantins";15168;3665;1732;1075;21640
"171395 Muricilândia";46327;38145;6067;495;91034
"171420 Natividade";137305;56447;54799;28474;277025
"171430 Nazaré";53728;21002;10509;6275;91514
"171488 Nova Olinda";72406;64700;61285;37400;235791
"171500 Nova Rosalândia";54123;25273;26991;21634;128021
"171510 Novo Acordo";23078;9269;2359;978;35684
"171515 Novo Alegre";41695;2474;2016;10601;56786
"171525 Novo Jardim";90886;26;-;-;90912
"171550 Oliveira de Fátima";14372;37;165;329;14903
"172100 Palmas";4152832;3558844;3336101;1963690;13011467
"171570 Palmeirante";15432;386;443;403;16664
"171380 Palmeiras do Tocantins";254506;331;488;63;255388
"171575 Palmeirópolis";117738;34261;194442;38141;384582
"171610 Paraíso do Tocantins";1022454;832291;900519;675835;3431099
"171620 Paranã";174164;146126;157232;104439;581961
"171630 Pau D'Arco";31117;599;298;253;32267
"171650 Pedro Afonso";28851;642;10388;5020;44901
"171660 Peixe";121572;102536;73860;59644;357612
"171665 Pequizeiro";71795;16391;20471;16503;125160
"171700 Pindorama do Tocantins";43844;21910;28066;25712;119532
"171720 Piraquê";27869;12964;18383;15221;74437
"171750 Pium";94219;19495;9469;34924;158107
"171780 Ponte Alta do Bom Jesus";36207;7929;6690;4338;55164
"171790 Ponte Alta do Tocantins";49493;40025;73234;61802;224554
"171800 Porto Alegre do Tocantins";19656;175;184;381;20396
"171820 Porto Nacional";1187267;1450968;1617752;2013892;6269879
"171830 Praia Norte";105038;511;10051;9644;125244
"171840 Presidente Kennedy";31556;2645;9473;2683;46357
"171845 Pugmil";43140;4285;1381;7171;55977
"171850 Recursolândia";32884;235;219;242;33580
"171855 Riachinho";32771;8175;10298;545;51789
"171865 Rio da Conceição";17779;164;237;281;18461
"171870 Rio dos Bois";21589;22289;22472;24617;90967
"171875 Rio Sono";76915;76;436;2179;79606
"171880 Sampaio";19552;363;899;8263;29077
"171884 Sandolândia";23885;310;10583;1238;36016
"171886 Santa Fé do Araguaia";386730;104215;60325;42096;593366
"171888 Santa Maria do Tocantins";3097;126;150;198;3571
"171889 Santa Rita do Tocantins";29810;13006;62;141;43019
"171890 Santa Rosa do Tocantins";84254;30482;558;971;116265
"171900 Santa Tereza do Tocantins";122686;65514;91785;67332;347317
"172000 Santa Terezinha do Tocantins";17729;1557;4308;3519;27113
"172010 São Bento do Tocantins";39294;176;166;87;39723
"172015 São Félix do Tocantins";7086;17;-;-;7103
"172020 São Miguel do Tocantins";131991;64921;48983;43637;289532
"172025 São Salvador do Tocantins";37472;26803;24397;14025;102697
"172030 São Sebastião do Tocantins";22278;523;843;45;23689
"172049 São Valério";70060;28652;41874;31668;172254
"172065 Silvanópolis";92561;74548;62578;56103;285790
"172080 Sítio Novo do Tocantins";137975;59419;31606;13900;242900
"172085 Sucupira";31833;15119;4011;51;51014
"172090 Taguatinga";119425;85777;76500;49261;330963
"172093 Taipas do Tocantins";21745;24732;24147;22736;93360
"172097 Talismã";44746;8875;10063;6091;69775
"172110 Tocantínia";77046;994;4922;6898;89860
"172120 Tocantinópolis";661172;432356;552648;466065;2112241
"172125 Tupirama";19898;11347;8921;73;40239
"172130 Tupiratins";687;96;157;334;1274
"172208 Wanderlândia";155923;84876;45676;37109;323584
"172210 Xambioá";125607;8926;583;413;135529
"170000 Tocantins - Gestão estadual";5705339;5756263;6143549;5223794;22828945
"210005 Açailândia";1205183;1422595;1266378;1260604;5154760
"210010 Afonso Cunha";83618;81617;95902;548851;809988
"210015 Água Doce do Maranhão";35785;3514;1722;1474;42495
"210020 Alcântara";40958;13122;22281;33033;109394
"210030 Aldeias Altas";255635;313238;266943;39767;875583
"210040 Altamira do Maranhão";72719;7653;8871;5590;94833
"210043 Alto Alegre do Maranhão";535666;360431;14803;11814;922714
"210047 Alto Alegre do Pindaré";259695;294889;327550;312264;1194398
"210050 Alto Parnaíba";24463;12215;27826;6886;71390
"210055 Amapá do Maranhão";81947;70648;38726;-;191321
"210060 Amarante do Maranhão";889636;749616;741614;1033513;3414379
"210070 Anajatuba";665296;232095;275451;144980;1317822
"210080 Anapurus";67672;172920;143803;115246;499641
"210083 Apicum-Açu";373118;602883;1173449;65827;2215277
"210087 Araguanã";116232;93230;62311;55276;327049
"210090 Araioses";229909;75599;76900;37654;420062
"210095 Arame";134384;192096;151547;102310;580337
"210100 Arari";494926;332767;352399;263997;1444089
"210110 Axixá";288199;208004;117749;115620;729572
"210120 Bacabal";1528938;1723350;1618799;1139055;6010142
"210125 Bacabeira";92434;97351;109714;81074;380573
"210130 Bacuri";226349;116226;74871;46395;463841
"210135 Bacurituba";29971;23783;5574;8585;67913
"210140 Balsas";2254718;1972039;1790677;1418749;7436183
"210150 Barão de Grajaú";279382;96511;119229;46190;541312
"210160 Barra do Corda";1134141;954018;565742;907851;3561752
"210170 Barreirinhas";341289;99083;2274;-;442646
"210177 Bela Vista do Maranhão";112712;216203;191573;919621;1440109
"210173 Belágua";42238;30758;44626;28301;145923
"210180 Benedito Leite";36740;12729;22363;19788;91620
"210190 Bequimão";23524;396004;384600;56341;860469
"210193 Bernardo do Mearim";192456;114719;278941;342442;928558
"210197 Boa Vista do Gurupi";63396;116764;-;-;180160
"210200 Bom Jardim";616396;753448;869850;62785;2302479
"210203 Bom Jesus das Selvas";883837;90678;109640;111654;1195809
"210207 Bom Lugar";493366;611361;1791179;2788766;5684672
"210210 Brejo";156553;83547;119203;168871;528174
"210215 Brejo de Areia";59171;309;10185;17564;87229
"210220 Buriti";229940;206749;110327;67229;614245
"210230 Buriti Bravo";596877;310945;299264;43417;1250503
"210232 Buriticupu";1955292;2516970;1825790;303443;6601495
"210235 Buritirana";88668;163097;255248;218926;725939
"210237 Cachoeira Grande";41511;1320;3151;12171;58153
"210240 Cajapió";57648;39528;44920;47018;189114
"210250 Cajari";127554;90334;101270;69717;388875
"210255 Campestre do Maranhão";58168;835;951;998;60952
"210260 Cândido Mendes";1324860;28068;43102;28929;1424959
"210270 Cantanhede";316794;270931;101225;440530;1129480
"210275 Capinzal do Norte";308403;207101;434079;492001;1441584
"210280 Carolina";247496;139756;243505;93132;723889
"210290 Carutapera";166629;40678;35816;34169;277292
"210300 Caxias";3482594;5087591;5955873;4628880;19154938
"210310 Cedral";54608;28932;7710;23354;114604
"210312 Central do Maranhão";98221;17665;3013;11361;130260
"210315 Centro do Guilherme";47842;46478;33784;195258;323362
