 Procedimentos hospitalares do SUS - por local de residência - Brasil
Valor total por Município e Ano processamento
Período:2017-2020
"Município";"2017";"2018";"2019";"2020";"Total"
"220610 Matias Olímpio";373944,50;448432,65;479916,33;585461,28;1887754,76
"220620 Miguel Alves";1958330,45;1976278,21;2252650,03;1934223,23;8121481,92
"220630 Miguel Leão";142499,85;65934,99;102701,82;80970,63;392107,29
"220635 Milton Brandão";221568,38;469612,34;307771,65;264341,43;1263293,80
"220640 Monsenhor Gil";597999,02;724569,56;691838,26;692022,51;2706429,35
"220650 Monsenhor Hipólito";386326,81;314930,12;431737,41;350192,70;1483187,04
"220660 Monte Alegre do Piauí";317056,90;300854,57;422431,61;320836,80;1361179,88
"220665 Morro Cabeça no Tempo";120863,57;134223,47;121280,61;127220,82;503588,47
"220667 Morro do Chapéu do Piauí";295553,46;321319,81;333116,50;326114,17;1276103,94
"220669 Murici dos Portelas";240743,64;291794,45;197858,80;229298,03;959694,92
"220670 Nazaré do Piauí";230100,85;309860,06;308267,70;335268,62;1183497,23
"220672 Nazária";523365,46;430699,44;564956,73;592964,39;2111986,02
"220675 Nossa Senhora de Nazaré";320899,23;347638,38;402476,26;350427,67;1421441,54
"220680 Nossa Senhora dos Remédios";296096,38;428430,80;347446,82;497489,87;1569463,87
"220795 Nova Santa Rita";239699,05;181162,59;193691,42;256293,39;870846,45
"220690 Novo Oriente do Piauí";345033,99;293181,47;289187,59;383686,94;1311089,99
"220695 Novo Santo Antônio";141041,32;155123,54;155645,92;165777,05;617587,83
"220700 Oeiras";2673667,33;2563144,73;2849121,64;3280953,23;11366886,93
"220710 Olho D'Água do Piauí";121754,44;132807,93;110832,92;139820,45;505215,74
"220720 Padre Marcos";253583,40;237529,80;161570,13;186883,79;839567,12
"220730 Paes Landim";192067,84;211588,31;276186,89;159147,66;838990,70
"220735 Pajeú do Piauí";206918,47;121678,73;134110,20;134973,82;597681,22
"220740 Palmeira do Piauí";244650,37;239970,18;204132,06;215217,35;903969,96
"220750 Palmeirais";733472,82;595180,81;608210,41;841086,96;2777951,00
"220755 Paquetá";131337,06;149983,03;162180,21;107455,57;550955,87
"220760 Parnaguá";798948,77;812664,46;899607,42;921058,95;3432279,60
"220770 Parnaíba";9907705,42;9457656,27;10133220,54;10317342,74;39815924,97
"220775 Passagem Franca do Piauí";196289,17;142563,09;146401,60;300153,82;785407,68
"220777 Patos do Piauí";244727,67;125037,65;214311,54;149449,66;733526,52
"220779 Pau D'Arco do Piauí";306822,04;176945,66;165904,78;149996,87;799669,35
"220780 Paulistana";933424,83;901652,96;843855,92;781351,33;3460285,04
"220785 Pavussu";74806,59;113660,48;136337,67;172913,15;497717,89
"220790 Pedro II";2055263,65;2480090,17;2214848,66;2183262,92;8933465,40
"220793 Pedro Laurentino";94178,60;58516,49;70415,73;63388,71;286499,53
"220800 Picos";3547281,96;3216587,60;3552522,66;3409806,54;13726198,76
"220810 Pimenteiras";526291,78;423814,78;450774,09;526110,84;1926991,49
"220820 Pio IX";618212,62;682438,13;844711,87;867120,52;3012483,14
"220830 Piracuruca";1299742,47;1462896,36;1336758,02;1372048,87;5471445,72
"220840 Piripiri";2914390,54;2887632,16;4033949,86;4168760,70;14004733,26
"220850 Porto";536398,60;564452,90;731570,28;915150,78;2747572,56
"220855 Porto Alegre do Piauí";99771,68;65102,93;106039,71;102501,85;373416,17
"220860 Prata do Piauí";127910,38;97642,48;63553,80;112450,65;401557,31
"220865 Queimada Nova";166913,64;325265,49;247764,42;223284,98;963228,53
"220870 Redenção do Gurguéia";390537,44;330883,40;351017,42;352849,90;1425288,16
"220880 Regeneração";1080456,79;1065788,68;1301515,32;1188174,44;4635935,23
"220885 Riacho Frio";112657,09;78640,40;161417,59;203266,30;555981,38
"220887 Ribeira do Piauí";109562,51;173290,52;163974,07;119092,32;565919,42
"220890 Ribeiro Gonçalves";273480,64;227997,52;282246,22;277731,88;1061456,26
"220900 Rio Grande do Piauí";146115,05;226759,21;245893,11;168464,66;787232,03
"220910 Santa Cruz do Piauí";254237,70;235316,04;185147,79;291067,45;965768,98
"220915 Santa Cruz dos Milagres";159750,72;243040,65;166968,62;154951,83;724711,82
"220920 Santa Filomena";177943,43;144938,17;144293,94;160026,65;627202,19
"220930 Santa Luz";369684,20;300475,29;434897,72;323367,82;1428425,03
"220937 Santa Rosa do Piauí";223142,94;229978,96;314025,24;204630,26;971777,40
"220935 Santana do Piauí";138667,30;185812,57;177039,53;108783,29;610302,69
"220940 Santo Antônio de Lisboa";271288,33;280588,23;255648,45;230802,95;1038327,96
"220945 Santo Antônio dos Milagres";44423,33;56711,88;128927,82;48438,46;278501,49
"220950 Santo Inácio do Piauí";214318,98;174388,24;294627,50;278358,82;961693,54
"220955 São Braz do Piauí";318379,72;271148,78;342849,03;332720,92;1265098,45
"220960 São Félix do Piauí";116373,29;114822,61;134384,59;165774,29;531354,78
"220965 São Francisco de Assis do Piauí";165096,85;143827,75;174226,36;147129,00;630279,96
"220970 São Francisco do Piauí";338423,79;290013,43;365678,06;311295,25;1305410,53
"220975 São Gonçalo do Gurguéia";71038,31;58353,87;81135,99;79748,73;290276,90
"220980 São Gonçalo do Piauí";184439,99;221186,47;390861,50;347622,27;1144110,23
"220985 São João da Canabrava";127587,28;150006,41;172608,57;174332,30;624534,56
"220987 São João da Fronteira";131730,63;176450,53;194631,66;245695,83;748508,65
"220990 São João da Serra";396999,38;348111,35;405991,91;387136,85;1538239,49
"220995 São João da Varjota";259552,70;312920,64;277419,60;319602,79;1169495,73
"220997 São João do Arraial";382127,29;492833,62;533179,21;389776,26;1797916,38
"221000 São João do Piauí";812202,66;873640,80;1067042,79;1056134,57;3809020,82
"221005 São José do Divino";318598,03;284546,39;291238,73;256979,78;1151362,93
"221010 São José do Peixe";146967,79;148023,07;114865,38;113363,60;523219,84
"221020 São José do Piauí";228459,84;208583,54;204524,31;148504,15;790071,84
"221030 São Julião";420341,24;491673,66;341988,85;264913,79;1518917,54
"221035 São Lourenço do Piauí";414186,87;352673,06;419452,34;294009,63;1480321,90
"221037 São Luis do Piauí";72685,34;75635,11;78437,19;95519,57;322277,21
"221038 São Miguel da Baixa Grande";69882,88;83414,26;123320,86;103305,20;379923,20
"221039 São Miguel do Fidalgo";110529,77;154712,26;223928,68;100043,75;589214,46
"221040 São Miguel do Tapuio";774801,40;699283,29;999606,12;1079457,48;3553148,29
"221050 São Pedro do Piauí";661969,70;520885,79;649709,58;659180,29;2491745,36
"221060 São Raimundo Nonato";3769597,36;4244705,41;4697605,17;4767815,76;17479723,70
"221062 Sebastião Barros";143732,74;87488,00;93102,33;92769,59;417092,66
"221063 Sebastião Leal";152189,92;247513,96;161738,57;115026,63;676469,08
"221065 Sigefredo Pacheco";562617,60;506448,83;618527,77;380589,39;2068183,59
"221070 Simões";1119641,75;1259023,81;1081328,37;1019906,52;4479900,45
"221080 Simplício Mendes";680691,19;687323,87;855807,19;609415,57;2833237,82
"221090 Socorro do Piauí";107012,24;134700,37;148044,12;162667,00;552423,73
"221093 Sussuapara";311515,26;282583,93;326517,39;330942,83;1251559,41
"221095 Tamboril do Piauí";104258,76;121633,18;277461,72;115488,67;618842,33
"221097 Tanque do Piauí";145258,00;112669,40;189192,61;174570,96;621690,97
"221100 Teresina";57386867,20;63263853,69;66228985,20;77273691,54;264153397,63
"221110 União";2538490,16;2600601,29;2783393,45;2705004,18;10627489,08
"221120 Uruçuí";1280671,92;1174356,40;1382905,33;1459169,05;5297102,70
"221130 Valença do Piauí";1239722,47;1350178,83;1334219,18;1549952,85;5474073,33
"221135 Várzea Branca";258874,13;279431,37;272223,65;208222,82;1018751,97
"221140 Várzea Grande";200881,15;220734,25;182702,22;148929,53;753247,15
"221150 Vera Mendes";138870,10;126656,16;118941,76;76776,91;461244,93
"221160 Vila Nova do Piauí";130440,04;109714,63;174805,93;118005,46;532966,06
"221170 Wall Ferraz";288603,92;320503,03;316045,57;295950,81;1221103,33
"230010 Abaiara";483584,21;459990,45;571223,70;508817,43;2023615,79
"230015 Acarape";656515,91;777816,30;879737,98;913792,09;3227862,28
"230020 Acaraú";3762684,34;3289390,53;3318870,54;3194089,89;13565035,30
"230030 Acopiara";1640776,85;1843635,65;2144090,32;2467676,43;8096179,25
"230040 Aiuaba";521889,29;592160,80;582518,95;625215,43;2321784,47
"230050 Alcântaras";638303,03;667386,56;730061,09;786178,24;2821928,92
"230060 Altaneira";464489,02;451275,73;635486,30;480949,86;2032200,91
"230070 Alto Santo";658792,75;837104,16;801485,07;876076,60;3173458,58
"230075 Amontada";1715323,36;1933602,08;1697213,97;1919497,32;7265636,73
"230080 Antonina do Norte";321982,18;461164,69;435458,63;305734,20;1524339,70
"230090 Apuiarés";490520,50;647175,02;809055,45;843062,78;2789813,75
"230100 Aquiraz";4052038,34;4746697,66;4986402,96;5294815,41;19079954,37
"230110 Aracati";3693250,70;3769272,25;4108522,46;4235545,94;15806591,35
"230120 Aracoiaba";2156136,39;2032614,93;2295865,63;1659713,98;8144330,93
"230125 Ararendá";486199,03;513026,12;633699,86;673095,91;2306020,92
"230130 Araripe";1214726,61;1397880,60;1286226,65;1045107,68;4943941,54
"230140 Aratuba";594256,09;877878,37;773037,86;668135,16;2913307,48
"230150 Arneiroz";395321,82;440070,68;506427,59;443356,89;1785176,98
"230160 Assaré";1227054,45;877708,96;1126039,94;1019290,10;4250093,45
"230170 Aurora";1540781,33;1529043,84;1595870,64;1599514,64;6265210,45
"230180 Baixio";190292,83;206163,51;258979,72;250332,83;905768,89
"230185 Banabuiú";865287,58;1068067,23;1032476,87;1168096,27;4133927,95
"230190 Barbalha";6733768,52;6367602,75;8213557,54;7265177,89;28580106,70
"230195 Barreira";1271499,82;1365272,16;1425206,38;1661843,55;5723821,91
"230200 Barro";1136039,19;1168947,03;1257108,33;1108452,42;4670546,97
"230205 Barroquinha";704067,94;724584,35;728377,39;687456,69;2844486,37
"230210 Baturité";1979723,28;2227271,64;2211397,01;2238893,23;8657285,16
"230220 Beberibe";2302018,74;3205958,22;2889859,19;3463448,27;11861284,42
"230230 Bela Cruz";1290235,42;1498158,21;1392331,81;1900105,78;6080831,22
"230240 Boa Viagem";2212879,42;2622747,00;2816582,74;2970833,90;10623043,06
"230250 Brejo Santo";4286581,75;4207249,69;4461296,54;5026629,15;17981757,13
"230260 Camocim";3935169,06;3761272,37;3866854,50;3846044,65;15409340,58
"230270 Campos Sales";1599839,90;1496396,95;1478774,06;1639951,83;6214962,74
"230280 Canindé";4138968,19;4622659,23;4798682,81;5246095,74;18806405,97
"230290 Capistrano";917259,73;1113790,38;1153117,37;1076194,56;4260362,04
"230300 Caridade";772835,25;996013,98;825906,64;1028193,45;3622949,32
"230310 Cariré";1153512,67;1218766,52;1416357,23;1315791,08;5104427,50
"230320 Caririaçu";1482350,15;1579234,64;1741887,05;1469228,71;6272700,55
"230330 Cariús";811040,91;724035,50;903067,48;847169,38;3285313,27
"230340 Carnaubal";983763,72;1047496,67;974099,72;1009483,70;4014843,81
"230350 Cascavel";3957116,40;4604660,95;4634954,57;5004185,85;18200917,77
"230360 Catarina";420150,53;470549,00;541375,39;464185,00;1896259,92
"230365 Catunda";419838,44;613126,73;595914,67;665595,00;2294474,84
"230370 Caucaia";19653231,71;19475892,19;21292761,12;22760095,81;83181980,83
"230380 Cedro";1803056,38;1770248,27;1670418,58;1808135,82;7051859,05
"230390 Chaval";583487,11;458714,51;542738,08;712041,94;2296981,64
"230393 Choró";567435,18;579129,08;758367,47;874693,07;2779624,80
"230395 Chorozinho";948618,63;921115,75;1086521,28;1338470,32;4294725,98
"230400 Coreaú";1409876,20;1558665,61;1762253,49;1722888,09;6453683,39
"230410 Crateús";3773582,91;4908777,85;5069365,21;5466656,49;19218382,46
"230420 Crato";7084759,34;7796515,25;9273739,23;9145242,76;33300256,58
"230423 Croatá";803546,01;763630,90;924272,79;1011084,42;3502534,12
"230425 Cruz";1292840,55;1619032,70;1679724,40;2043964,71;6635562,36
"230426 Deputado Irapuan Pinheiro";292363,90;451855,41;360433,18;445749,97;1550402,46
"230427 Ererê";380069,89;334503,99;265345,38;236245,90;1216165,16
"230428 Eusébio";3615119,38;4093195,07;3788166,85;4730525,50;16227006,80
"230430 Farias Brito";1072626,77;1181802,14;1271236,21;1292481,47;4818146,59
"230435 Forquilha";1634085,15;1500926,18;1607014,15;1895689,81;6637715,29
"230440 Fortaleza";196040965,58;203304199,51;205921958,01;210481831,71;815748954,81
"230445 Fortim";704983,41;774692,60;976604,53;911077,82;3367358,36
"230450 Frecheirinha";996161,54;1150358,83;1337970,38;1401071,32;4885562,07
"230460 General Sampaio";643040,81;491881,55;450329,85;353973,38;1939225,59
"230465 Graça";788352,14;823013,08;788664,91;1403906,43;3803936,56
"230470 Granja";2414180,84;2235284,29;2620380,56;2960422,38;10230268,07
"230480 Granjeiro";249034,82;284876,38;289177,89;292021,61;1115110,70
"230490 Groaíras";767898,63;780540,76;742872,82;1151141,03;3442453,24
"230495 Guaiúba";1184547,75;1516318,42;1359731,25;1487413,19;5548010,61
"230500 Guaraciaba do Norte";2319203,39;2007273,58;2611689,94;2162309,88;9100476,79
"230510 Guaramiranga";336475,51;348325,92;418949,99;371846,85;1475598,27
"230520 Hidrolândia";1003777,75;1032998,88;1130444,41;1392041,80;4559262,84
"230523 Horizonte";3909738,90;3965672,55;4236628,29;4564598,58;16676638,32
"230526 Ibaretama";673968,70;773825,74;825483,69;844719,49;3117997,62
"230530 Ibiapina";1478791,12;1578118,42;1927594,48;1602828,35;6587332,37
"230533 Ibicuitinga";678790,78;729089,93;725758,74;750442,07;2884081,52
"230535 Icapuí";973615,95;985388,18;993766,61;1066387,95;4019158,69
"230540 Icó";3262726,17;3067788,91;3498426,93;3683483,53;13512425,54
"230550 Iguatu";5657998,47;5632377,29;5202394,83;5101252,48;21594023,07
"230560 Independência";1096500,78;1209482,52;1362158,75;1256846,07;4924988,12
"230565 Ipaporanga";692412,86;620562,22;809950,21;607430,40;2730355,69
"230570 Ipaumirim";364306,61;374576,82;441988,39;513344,08;1694215,90
"230580 Ipu";2354211,43;2570331,65;2657766,07;3122390,92;10704700,07
"230590 Ipueiras";1832812,01;2307158,18;2335759,59;2492864,95;8968594,73
"230600 Iracema";1003242,62;916066,94;922803,50;902212,17;3744325,23
"230610 Irauçuba";1337050,96;1170484,82;1411818,20;1626765,13;5546119,11
"230620 Itaiçaba";306818,61;361109,54;529443,55;427431,28;1624802,98
"230625 Itaitinga";2106663,44;2377100,21;2620656,80;2743480,78;9847901,23
"230630 Itapagé";2658857,88;2678029,36;2868542,37;3088990,98;11294420,59
"230640 Itapipoca";6265012,45;6433710,83;7002832,43;8058090,67;27759646,38
"230650 Itapiúna";854860,93;803551,08;1118768,93;1103557,97;3880738,91
"230655 Itarema";2110723,69;2288633,81;2467888,71;2845496,47;9712742,68
"230660 Itatira";1035631,88;1361328,59;1261958,08;1159263,62;4818182,17
"230670 Jaguaretama";867890,18;1129771,59;1020457,96;1106495,08;4124614,81
"230680 Jaguaribara";496877,78;647299,47;612860,25;870055,32;2627092,82
"230690 Jaguaribe";2127387,88;2282662,84;2027880,36;2560023,73;8997954,81
"230700 Jaguaruana";1826338,77;2187961,83;2017438,62;2065795,02;8097534,24
"230710 Jardim";1726379,22;1901336,95;1928484,49;2147789,22;7703989,88
"230720 Jati";455064,80;462354,75;469427,37;471118,78;1857965,70
"230725 Jijoca de Jericoacoara";998242,60;1209528,50;1195322,32;1312460,16;4715553,58
"230730 Juazeiro do Norte";15290460,17;14539080,91;16680958,06;17281598,24;63792097,38
"230740 Jucás";902670,87;1073172,27;1191416,59;1137574,36;4304834,09
"230750 Lavras da Mangabeira";1938129,63;2121128,78;2584444,68;2142627,76;8786330,85
"230760 Limoeiro do Norte";3444875,49;3782359,22;4258948,38;4816794,75;16302977,84
"230763 Madalena";720438,60;823745,54;755445,60;1136796,88;3436426,62
"230765 Maracanaú";16143128,91;15847249,17;16968440,38;16693988,17;65652806,63
"230770 Maranguape";5294632,64;5421924,47;6033347,40;6089919,54;22839824,05
"230780 Marco";1445007,54;1691218,78;1887790,92;1759035,25;6783052,49
"230790 Martinópole";534211,40;564122,07;558608,56;642545,75;2299487,78
"230800 Massapê";2340688,95;2268198,82;2301509,51;3018366,04;9928763,32
"230810 Mauriti";2211936,04;2296496,91;2534570,81;2565062,47;9608066,23
"230820 Meruoca";904789,92;973019,17;884230,21;1427231,77;4189271,07
"230830 Milagres";1130512,85;1451918,92;1509510,02;1420139,31;5512081,10
"230835 Milhã";740048,57;902366,15;690285,41;817485,73;3150185,86
"230837 Miraíma";519654,69;498666,14;670553,21;837687,88;2526561,92
"230840 Missão Velha";2718819,91;2356654,33;2989899,00;2823459,06;10888832,30
"230850 Mombaça";1675471,61;1900606,39;1934714,31;2120821,81;7631614,12
"230860 Monsenhor Tabosa";971687,17;1217671,98;1097608,05;1192824,47;4479791,67
"230870 Morada Nova";3228718,73;4092200,16;4239541,86;4470311,61;16030772,36
"230880 Moraújo";510703,48;473897,53;481517,09;666178,84;2132296,94
"230890 Morrinhos";1121871,14;1179094,15;1256678,05;1295737,94;4853381,28
"230900 Mucambo";1082615,87;1079253,26;987919,64;1098087,09;4247875,86
"230910 Mulungu";645619,35;437351,25;737789,16;669250,50;2490010,26
"230920 Nova Olinda";1018566,23;897964,05;826790,21;868588,88;3611909,37
"230930 Nova Russas";1659570,36;1893382,20;1706849,52;1944848,51;7204650,59
"230940 Novo Oriente";1384065,82;1861658,33;1752938,27;1687928,15;6686590,57
"230945 Ocara";1373448,62;1543280,56;1341539,23;1925991,31;6184259,72
"230950 Orós";1149290,82;1023945,55;1134182,36;1290445,91;4597864,64
"230960 Pacajus";3945775,01;3433317,67;4056787,06;4365591,96;15801471,70
"230970 Pacatuba";3357890,94;3534408,88;4001130,87;4354927,73;15248358,42
"230980 Pacoti";705021,58;645395,81;768301,63;460829,41;2579548,43
"230990 Pacujá";428127,95;434410,98;343626,90;718714,31;1924880,14
"231000 Palhano";695669,16;548674,25;430954,45;662064,22;2337362,08
"231010 Palmácia";551910,04;536361,42;510481,51;573988,26;2172741,23
"231020 Paracuru";2026403,24;1917011,28;2138846,63;2275403,87;8357665,02
"231025 Paraipaba";1801026,70;1739777,87;1484246,34;1879257,15;6904308,06
"231030 Parambu";1564240,69;1511162,28;2338360,84;2168102,68;7581866,49
"231040 Paramoti";405279,66;445954,38;458353,57;541080,68;1850668,29
"231050 Pedra Branca";1941962,67;2420512,69;2497110,31;2786471,84;9646057,51
"231060 Penaforte";558859,30;530706,80;704259,33;781255,24;2575080,67
"231070 Pentecoste";1879083,73;2264289,50;2075827,53;2269235,44;8488436,20
"231080 Pereiro";794759,15;825319,03;981269,29;1012916,37;3614263,84
"231085 Pindoretama";1063970,00;1190835,78;1334963,11;1543987,43;5133756,32
"231090 Piquet Carneiro";717773,60;714690,52;731453,20;639507,98;2803425,30
"231095 Pires Ferreira";473508,37;271460,95;590685,91;491654,12;1827309,35
"231100 Poranga";549149,23;618765,09;698429,35;697368,01;2563711,68
"231110 Porteiras";1165091,73;1087606,26;1183510,05;1266748,33;4702956,37
"231120 Potengi";514882,92;408751,08;518558,68;437903,21;1880095,89
"231123 Potiretama";210264,32;247246,06;253389,72;309813,84;1020713,94
"231126 Quiterianópolis";899621,55;956127,20;873958,19;1143153,45;3872860,39
"231130 Quixadá";4530313,75;4763099,43;5691163,87;6535129,11;21519706,16
"231135 Quixelô";858046,65;772860,28;1034844,78;1161540,02;3827291,73
"231140 Quixeramobim";4501940,62;4862090,51;5674419,29;5340509,85;20378960,27
"231150 Quixeré";1045515,83;1002672,54;1424147,25;1362943,25;4835278,87
"231160 Redenção";1703963,30;2169572,52;1877927,49;2487122,25;8238585,56
"231170 Reriutaba";1312810,75;1212445,15;1105726,46;1467628,69;5098611,05
"231180 Russas";5046608,12;5219436,04;5712297,09;6081174,53;22059515,78
"231190 Saboeiro";480470,01;565230,43;508039,04;371857,06;1925596,54
"231195 Salitre";718536,46;713392,56;1070618,90;1069090,03;3571637,95
"231220 Santa Quitéria";2316207,72;2535184,11;2804588,18;2553542,42;10209522,43
"231200 Santana do Acaraú";1816444,97;1888702,87;1662686,50;2105690,39;7473524,73
"231210 Santana do Cariri";642393,06;690433,04;808779,00;775602,75;2917207,85
"231230 São Benedito";2650783,51;2580398,71;2731075,11;3171708,41;11133965,74
"231240 São Gonçalo do Amarante";2647439,16;2940998,70;3298359,49;3596355,03;12483152,38
"231250 São João do Jaguaribe";580692,76;454941,06;526256,12;442613,79;2004503,73
"231260 São Luís do Curu";370145,29;300864,29;618894,55;618038,60;1907942,73
"231270 Senador Pompeu";1380395,88;1233287,91;1796117,63;1426600,37;5836401,79
"231280 Senador Sá";487264,92;403996,84;589494,57;719858,08;2200614,41
"231290 Sobral";16947373,14;15501838,84;16828156,43;20871084,28;70148452,69
"231300 Solonópole";977847,90;940183,44;1073208,09;1061075,54;4052314,97
"231310 Tabuleiro do Norte";1757176,83;2062861,69;2151750,28;2352331,91;8324120,71
"231320 Tamboril";1009819,60;1420923,73;1651954,78;1625435,75;5708133,86
"231325 Tarrafas";386582,35;293401,26;318384,29;372031,74;1370399,64
"231330 Tauá";3935975,20;4189580,19;4730033,56;5583276,17;18438865,12
"231335 Tejuçuoca";840858,85;587489,08;715419,66;864716,37;3008483,96
"231340 Tianguá";3975923,82;4404585,41;4960453,03;6224431,01;19565393,27
"231350 Trairi";2146267,85;2719537,00;2569324,97;3332974,52;10768104,34
"231355 Tururu";780090,13;705764,48;800681,73;864753,49;3151289,83
"231360 Ubajara";1612198,12;1988673,08;2269379,17;2436378,94;8306629,31
"231370 Umari";227587,06;256792,63;284642,64;284032,01;1053054,34
"231375 Umirim";793957,87;781943,68;904019,33;1045185,96;3525106,84
"231380 Uruburetama";881948,80;1043181,43;1194961,62;1354044,63;4474136,48
"231390 Uruoca";738852,83;611670,26;814945,57;916401,61;3081870,27
"231395 Varjota";1059607,62;1146507,06;1355894,27;1581812,79;5143821,74
"231400 Várzea Alegre";2097796,44;2177615,27;2945252,08;2409077,74;9629741,53
"231410 Viçosa do Ceará";2917444,05;3240316,63;3505815,59;3882861,49;13546437,76
"240010 Acari";581750,83;504269,00;688590,21;854128,14;2628738,18
"240020 Açu";3319506,38;4054490,80;3768824,23;4824800,25;15967621,66
"240030 Afonso Bezerra";512014,07;490509,22;468414,01;509864,52;1980801,82
"240040 Água Nova";167586,50;180612,27;241915,87;229819,36;819934,00
"240050 Alexandria";1967621,50;1672908,39;1811912,88;1335764,67;6788207,44
"240060 Almino Afonso";554263,27;356145,10;432399,10;285682,43;1628489,90
"240070 Alto do Rodrigues";810756,64;844532,07;1096658,11;843891,75;3595838,57
"240080 Angicos";513204,01;688534,44;854895,93;746277,45;2802911,83
"240090 Antônio Martins";374015,40;495833,94;569333,29;377204,84;1816387,47
"240100 Apodi";2626239,99;3110553,63;3072550,69;2845804,16;11655148,47
"240110 Areia Branca";1753133,88;1862237,17;2024126,44;2316245,09;7955742,58
"240120 Arês";777797,91;891527,93;937269,69;878338,69;3484934,22
"240130 Augusto Severo";607415,26;441803,81;604585,44;540401,86;2194206,37
"240140 Baía Formosa";549905,34;425648,63;631221,57;686692,93;2293468,47
"240145 Baraúna";1690928,43;1711030,16;1773862,45;1745065,73;6920886,77
"240150 Barcelona";182408,53;258265,14;305880,39;352263,18;1098817,24
"240160 Bento Fernandes";257845,68;334124,87;331851,91;368847,17;1292669,63
"240165 Bodó";219289,25;224645,70;256091,71;239098,69;939125,35
"240170 Bom Jesus";574445,03;919106,55;784932,14;816978,58;3095462,30
"240180 Brejinho";905374,14;932072,08;906885,61;1032803,14;3777134,97
"240185 Caiçara do Norte";350102,09;388818,66;379881,37;437612,10;1556414,22
"240190 Caiçara do Rio do Vento";321214,36;288828,67;425797,88;320156,24;1355997,15
"240200 Caicó";4038267,56;3685783,30;4541585,47;6083943,28;18349579,61
"240210 Campo Redondo";782097,62;721048,19;698552,75;643621,60;2845320,16
"240220 Canguaretama";1869805,10;2164190,77;2293702,57;2308890,24;8636588,68
"240230 Caraúbas";1525466,38;1408352,06;1720692,08;1650286,41;6304796,93
"240240 Carnaúba dos Dantas";361215,18;489347,52;676690,72;514026,69;2041280,11
"240250 Carnaubais";501441,02;531484,72;761206,31;659052,16;2453184,21
"240260 Ceará-Mirim";4453023,04;4660296,22;4702766,78;5368824,39;19184910,43
"240270 Cerro Corá";579076,62;748669,10;1071917,46;764244,30;3163907,48
"240280 Coronel Ezequiel";282301,16;399782,65;357995,07;297902,38;1337981,26
"240290 Coronel João Pessoa";234016,34;283923,60;284471,98;284625,91;1087037,83
"240300 Cruzeta";414673,00;424049,77;653509,93;648069,04;2140301,74
"240310 Currais Novos";2595014,56;2996249,55;3388637,18;3589950,62;12569851,91
"240320 Doutor Severiano";346367,74;370547,06;445169,81;555231,84;1717316,45
"240330 Encanto";518144,62;483905,16;497070,60;530707,95;2029828,33
"240340 Equador";181725,77;289627,84;243371,35;247580,44;962305,40
"240350 Espírito Santo";568340,55;667102,60;526679,41;783799,14;2545921,70
"240360 Extremoz";2186595,80;2359868,88;2578767,40;2597014,15;9722246,23
"240370 Felipe Guerra";373025,64;424663,31;501619,22;525373,90;1824682,07
"240375 Fernando Pedroza";213567,01;233019,85;192852,30;309834,96;949274,12
"240380 Florânia";419919,73;580268,55;632730,14;783067,35;2415985,77
"240390 Francisco Dantas";364389,00;214657,22;264538,60;135460,85;979045,67
"240400 Frutuoso Gomes";234671,66;327599,98;448105,65;330261,41;1340638,70
"240410 Galinhos";87943,67;157568,63;173272,17;228313,23;647097,70
"240420 Goianinha";1489207,03;1775602,09;2002061,20;2385873,19;7652743,51
"240430 Governador Dix-Sept Rosado";791403,87;946838,99;1032832,24;1018839,24;3789914,34
"240440 Grossos";530995,70;568498,87;625284,56;802989,08;2527768,21
"240450 Guamaré";989734,23;1269125,75;1445340,73;1312363,06;5016563,77
"240460 Ielmo Marinho";632300,95;719198,39;841489,52;574575,42;2767564,28
"240470 Ipanguaçu";784244,99;983644,92;952637,58;1048505,69;3769033,18
"240480 Ipueira";85843,90;107862,30;100912,38;70439,49;365058,07
"240485 Itajá";669200,11;470232,72;497758,64;773255,55;2410447,02
"240490 Itaú";353669,20;362181,15;451918,43;558560,91;1726329,69
"240500 Jaçanã";433708,93;516075,92;549815,34;711956,00;2211556,19
"240510 Jandaíra";443493,43;286959,25;343533,69;354426,42;1428412,79
"240520 Janduís";284530,55;343094,30;310746,15;349533,18;1287904,18
"240530 Januário Cicco";464472,70;475919,97;696319,76;570349,40;2207061,83
"240540 Japi";430388,20;389331,57;515043,84;544705,79;1879469,40
"240550 Jardim de Angicos";133855,55;185969,12;150562,28;221866,81;692253,76
"240560 Jardim de Piranhas";973646,67;966254,66;904769,05;1449694,42;4294364,80
"240570 Jardim do Seridó";614451,81;937861,81;679657,42;872772,63;3104743,67
"240580 João Câmara";2087053,26;2094812,88;2790723,16;2903035,14;9875624,44
"240590 João Dias";138048,02;149912,92;90503,66;48041,50;426506,10
"240600 José da Penha";306702,94;461888,95;657258,03;594992,74;2020842,66
"240610 Jucurutu";938835,34;917327,51;1081017,47;1406939,75;4344120,07
"240615 Jundiá";264804,86;323454,22;266511,68;395942,75;1250713,51
"240620 Lagoa d'Anta";351954,87;420415,26;404962,84;451125,09;1628458,06
"240630 Lagoa de Pedras";587937,44;472844,86;673676,62;474741,97;2209200,89
"240640 Lagoa de Velhos";234775,23;244742,58;245053,19;255641,65;980212,65
"240650 Lagoa Nova";719066,26;982368,62;940988,35;1107543,42;3749966,65
"240660 Lagoa Salgada";519580,02;580832,89;863119,96;822753,30;2786286,17
"240670 Lajes";777640,31;817186,81;873704,14;937540,81;3406072,07
