 Procedimentos hospitalares do SUS - por local de residência - Brasil
Valor total por Município e Ano processamento
Período:2017-2020
"Município";"2017";"2018";"2019";"2020";"Total"
"171886 Santa Fé do Araguaia";421879,97;368203,28;354642,00;374351,68;1519076,93
"171888 Santa Maria do Tocantins";83146,69;56705,80;208062,08;124456,74;472371,31
"171889 Santa Rita do Tocantins";49547,84;54639,25;81927,40;109876,76;295991,25
"171890 Santa Rosa do Tocantins";138028,43;213515,10;237116,92;220005,28;808665,73
"171900 Santa Tereza do Tocantins";145467,03;129994,45;127294,18;203456,98;606212,64
"172000 Santa Terezinha do Tocantins";109299,75;87856,26;66191,54;80361,67;343709,22
"172010 São Bento do Tocantins";171027,40;214775,68;177019,58;294871,33;857693,99
"172015 São Félix do Tocantins";148584,75;43126,05;189221,18;276133,94;657065,92
"172020 São Miguel do Tocantins";294748,89;319383,98;283173,14;276547,12;1173853,13
"172025 São Salvador do Tocantins";75450,31;71786,92;77880,47;97077,93;322195,63
"172030 São Sebastião do Tocantins";91308,12;112090,41;135032,43;131469,14;469900,10
"172049 São Valério";209871,26;132929,42;231016,72;179851,23;753668,63
"172065 Silvanópolis";258155,77;247866,06;298078,51;187180,57;991280,91
"172080 Sítio Novo do Tocantins";246741,04;209311,46;305477,80;368612,07;1130142,37
"172085 Sucupira";77620,43;108949,64;110727,16;76803,37;374100,60
"172090 Taguatinga";422920,12;504733,23;370026,05;389896,46;1687575,86
"172093 Taipas do Tocantins";51403,35;75358,71;68376,77;117227,67;312366,50
"172097 Talismã";145496,01;60432,27;114351,93;74842,32;395122,53
"172110 Tocantínia";497316,10;346500,78;527799,53;606877,68;1978494,09
"172120 Tocantinópolis";1174925,82;1166004,20;1352873,97;1283102,73;4976906,72
"172125 Tupirama";94516,96;37256,20;81301,07;80528,54;293602,77
"172130 Tupiratins";63260,33;59252,68;98349,35;88795,51;309657,87
"172208 Wanderlândia";579720,13;501967,55;517621,05;526328,87;2125637,60
"172210 Xambioá";914949,22;665270,47;718861,62;965796,88;3264878,19
"210005 Açailândia";5134898,47;5720188,74;5513433,96;6259801,15;22628322,32
"210010 Afonso Cunha";140617,63;417340,73;515738,72;465712,38;1539409,46
"210015 Água Doce do Maranhão";268348,68;297877,39;228328,17;399170,36;1193724,60
"210020 Alcântara";776525,45;625904,70;691382,24;818980,82;2912793,21
"210030 Aldeias Altas";1269368,16;1385455,94;1246318,84;978910,72;4880053,66
"210040 Altamira do Maranhão";165833,44;294987,21;209775,60;215224,39;885820,64
"210043 Alto Alegre do Maranhão";1151185,12;1237052,87;1508760,23;1201816,00;5098814,22
"210047 Alto Alegre do Pindaré";1094428,11;1187089,92;1406693,21;1443220,02;5131431,26
"210050 Alto Parnaíba";237592,83;469446,39;643464,80;448185,96;1798689,98
"210055 Amapá do Maranhão";160973,96;276085,30;294171,86;278817,24;1010048,36
"210060 Amarante do Maranhão";2335772,32;2274601,34;2545237,51;1985124,78;9140735,95
"210070 Anajatuba";1048358,96;966355,28;933785,51;977374,88;3925874,63
"210080 Anapurus";605248,39;624192,92;633146,44;723558,26;2586146,01
"210083 Apicum-Açu";592332,41;676870,91;869932,75;660403,57;2799539,64
"210087 Araguanã";563603,72;567835,30;321991,32;405026,39;1858456,73
"210090 Araioses";847849,70;801848,06;769047,95;1029549,65;3448295,36
"210095 Arame";1716812,29;1679454,95;1548920,48;1352905,43;6298093,15
"210100 Arari";1479954,95;1334711,62;1533893,38;1487188,82;5835748,77
"210110 Axixá";660347,31;718610,32;645528,85;479023,83;2503510,31
"210120 Bacabal";3967557,21;4391356,64;5462826,91;5859000,64;19680741,40
"210125 Bacabeira";781681,14;725014,52;790534,66;741086,48;3038316,80
"210130 Bacuri";646978,66;763656,42;889286,09;949982,52;3249903,69
"210135 Bacurituba";153550,63;123297,81;131065,31;117435,21;525348,96
"210140 Balsas";4045926,09;4630291,59;4975043,76;5827634,15;19478895,59
"210150 Barão de Grajaú";804572,39;957810,39;913769,49;754053,99;3430206,26
"210160 Barra do Corda";3555139,10;3892810,76;3738196,30;4066997,63;15253143,79
"210170 Barreirinhas";2769204,30;2856388,13;2925670,27;2910286,93;11461549,63
"210177 Bela Vista do Maranhão";596987,31;778736,79;748750,06;900620,40;3025094,56
"210173 Belágua";216336,49;223396,02;216136,67;233831,62;889700,80
"210180 Benedito Leite";240351,08;201353,52;176220,44;203551,80;821476,84
"210190 Bequimão";1048498,14;1080429,64;991873,16;1014921,05;4135721,99
"210193 Bernardo do Mearim";212936,02;226084,72;193320,29;294622,78;926963,81
"210197 Boa Vista do Gurupi";206310,75;266760,77;267111,71;322761,32;1062944,55
"210200 Bom Jardim";1710787,84;1664843,47;1601162,63;1908247,55;6885041,49
"210203 Bom Jesus das Selvas";1568797,96;1345805,04;1583800,81;1453380,26;5951784,07
"210207 Bom Lugar";263452,68;328394,23;346045,64;457745,74;1395638,29
"210210 Brejo";1350417,26;1269097,45;904387,51;1424390,89;4948293,11
"210215 Brejo de Areia";172373,47;188545,15;191875,70;264443,47;817237,79
"210220 Buriti";828751,18;764359,17;690786,07;795938,30;3079834,72
"210230 Buriti Bravo";1183903,20;1219319,61;1338466,41;1454334,68;5196023,90
"210232 Buriticupu";3359564,43;3249833,02;3047803,12;2637299,78;12294500,35
"210235 Buritirana";584638,83;645691,00;661532,09;629096,25;2520958,17
"210237 Cachoeira Grande";324616,74;477014,03;359244,38;268602,93;1429478,08
"210240 Cajapió";360858,90;384633,96;480992,83;518543,63;1745029,32
"210250 Cajari";597933,17;595076,30;495288,20;514316,78;2202614,45
"210255 Campestre do Maranhão";477392,83;534256,19;745214,77;483235,89;2240099,68
"210260 Cândido Mendes";495051,06;611538,03;651485,19;623655,37;2381729,65
"210270 Cantanhede";782972,17;881176,95;885967,12;948184,35;3498300,59
"210275 Capinzal do Norte";352117,95;470289,52;456481,74;501611,69;1780500,90
"210280 Carolina";939380,87;930347,41;1264849,00;1125598,78;4260176,06
"210290 Carutapera";732176,24;680569,77;913771,21;753014,90;3079532,12
"210300 Caxias";7492082,82;7966944,03;8359871,44;9471086,31;33289984,60
"210310 Cedral";470290,42;433120,88;527463,10;475848,93;1906723,33
